name,servings,ingredients,directions,type,calories,cholesterol,fat,carbohydrates,fiber,sugars,protein,calcium,iron,vitamin_a,vitamin_c,vitamin_d,folate
Apple Wedges with Pumpkin Almond Butter,4 Servings,[],"['Mix together dip ingredients.', 'Serve with apple slices.']",Desserts,244,0 mg,13 g,33 g,7 g,24 g,5 g,104 mg,1 mg,242 mcg RAE,8 mg,0 mcg,19 mcg DFE
Applesauce,10 servings,"['7 apples (cut in quarters)', '1/2 cup water', '1/4 cup sugar']","['Wash and then cut apples in quarters. Apples can be peeled, but fiber will be decreased.', 'Combine apples and water in saucepan. Heat to boiling. Turn heat to low as soon as the water is boiling.', 'Simmer over low heat for 15 to 20 minutes or until apples are tender. Stir occasionally to prevent sticking.', 'Stir in sugar and heat until sugar is dissolved.']",Desserts,70,0 mg,0 g,18 g,2 g,15 g,0 g,6 mg,0 mg,3 mcg RAE,4 mg,0 mcg,3 mcg DFE
Applesauce Cookies,12 servings,"['1 cup sugar', '1/2 cup margarine (or butter or shortening)', '1 egg', '2 teaspoons baking soda', '2 1/2 cups flour (all purpose)', '1/2 teaspoon salt', '1 teaspoon cinnamon', '1 1/2 cups applesauce, unsweetened', '1 cup raisins', '1 nuts (1 cup, optional)']","['Preheat oven to 350 °F. Prepare pan or cookie sheet (see below).', 'Cream together sugar, shortening, and egg.', 'In a separate bowl, combine baking soda, flour, salt, and cinnamon. Mix well.', 'Stir flour mixture into shortening mixture just until moist.', 'Add applesauce, raisins, and nuts (if using).']",Desserts,282,16 mg,8 g,50 g,2 g,27 g,4 g,16 mg,2 mg,84 mcg RAE,1 mg,0 mcg,79 mcg DFE
Applesauce Loaf Cake,16 servings,"['1/2 cup walnuts (chopped)', '1 1/2 cups applesauce', '1 egg', '1 cup sugar', '2 tablespoons vegetable oil', '1 teaspoon vanilla extract', '2 cups flour (all purpose)', '2 teaspoons baking soda', '1/2 teaspoon cinnamon (ground)', '1/2 teaspoon nutmeg (ground)', '1 cup raisins']","['Wash hands well with soap and warm water.', 'Pre-heat the oven to 350 °F. Grease two 8x4x2 inch loaf pans.', 'Toast walnuts in an ungreased skillet pan. Stir while heating on medium-low heat for 5-7 minutes. They are done when they are brown and smell nutty. Set aside to cool.', 'Mix applesauce, egg, sugar, oil and vanilla in a large bowl.', 'Mix flour, baking soda, cinnamon, and nutmeg together in a smaller bowl.', 'Pour flour mixture into applesauce mixture.', 'Stir in raisins and cooled toasted nuts.', 'Pour half of the batter into each greased pan. Bake for 45-55 minutes.', 'Remove cakes from the oven. Cool for 10 minutes. Remove from pans to finish cooling. For best taste, let cakes cool a few hours before serving.']",Desserts,194,12 mg,5 g,36 g,1 g,22 g,3 g,14 mg,1 mg,5 mcg RAE,1 mg,0 mcg,51 mcg DFE
Aunt Barbara's Chocolate Squash Cake,12 Servings,"['1/2 cup vegetable oil', '1 package cake mix, dark chocolate', '1 teaspoon ground cinnamon', '3 eggs', '1 1/4 cups water', '1 cup squash (shredded or finely chopped)', '1/4 chopped walnuts (1/4 cup, optional)']","['Preheat oven to 350 °F. Grease and flour a 10-inch tube or bundt pan.', 'In a large bowl, combine cake mix and cinnamon.', 'Add eggs, water, and oil. Blend until combined, then beat with an electric mixer for 2 minutes on medium speed.', 'Fold in squash. Add nuts if you like.', 'Pour into prepared pan. Bake for 50 minutes to 1 hour, until cake springs back when lightly touched.']",Desserts,286,41 mg,17 g,33 g,1 g,17 g,4 g,77 mg,2 mg,19 mcg RAE,0 mg,0 mcg,48 mcg DFE
Baked Bananas,6 Servings,"['6 bananas, sliced lengthwise', '18 teaspoons packed brown sugar (6 Tablespoons)', '4 tablespoons margarine or butter', '1/2 cup raisins, or other dried chopped fruit', '1/3 cup chopped pecans']","['Wash hands with soap and water.', 'Preheat oven to 350 °F.', 'Lightly grease a 9x13 inch pan.', 'Arrange the split bananas in the pan.', 'Top evenly with brown sugar, small pieces of margarine, raisins, and pecans.', 'Bake for 30 minutes.']",Desserts,301,0 mg,12 g,51 g,4 g,35 g,2 g,28 mg,1 mg,80 mcg RAE,11 mg,0 mcg,26 mcg DFE
Baked Pumpkin,8 servings,"['2 cups pumpkin (about 1 small pumpkin, peeled and cut into cubes)', '1 cup sugar', '1 teaspoon salt', '1 teaspoon cinnamon']","['Preheat oven to 325 °F.', 'Place pumpkin cubes in a baking dish and sprinkle with sugar and salt.', 'Cover pan with foil and bake until soft.', 'Sprinkle with cinnamon.']",Desserts,113,0 mg,0 g,29 g,1 g,27 g,1 g,16 mg,0 mg,228 mcg RAE,4 mg,0 mcg,7 mcg DFE
Banana Bread,12 servings,"['3 bananas (large, well-ripened)', '1 egg', '2 tablespoons vegetable oil', '1/3 cup milk, fat-free', '1/3 cup sugar', '1 teaspoon salt', '1 teaspoon baking soda', '1/2 teaspoon baking powder', '1 1/2 cups flour']","['Wash hands with soap and water.', 'Preheat the oven to 350 °F.', 'Peel the bananas. Put them in a mixing bowl. Mash the bananas with a fork.', 'Add the egg, oil, milk, sugar, salt, baking soda, and baking powder. Mix well with the fork.', 'Slowly stir the flour into the banana mixture. Stir for 20 seconds until the flour is moistened.', 'Lightly grease the bread pan with a little oil or cooking spray. Or, line the pan with wax paper.', 'Pour the batter into the bread pan.', 'Bake for 45 minutes until a toothpick inserted near the middle comes out clean.', 'Let the bread cool for 5 minutes before removing it from the pan.']",Desserts,137,16 mg,3 g,26 g,1 g,10 g,3 g,26 mg,1 mg,12 mcg RAE,3 mg,0 mcg,55 mcg DFE
Banana Cocoa Yogurt Pops,4 Servings,"['1 cup low-fat vanilla yogurt', '1 medium banana', '2 teaspoons cocoa powder', '1 ice cube tray (or paper cups)']","['Mash banana with a fork.', 'Mix banana and yogurt well.', 'Stir in cocoa powder.', 'Divide into 4 small paper cups (or 8 mini muffin cups) and place in popsicle sticks (or cut paper straws).', 'Freeze.', 'Enjoy as a frozen treat!']",Desserts,79,3 mg,1 g,15 g,1 g,12 g,3 g,,,8 mcg RAE,3 mg,0 mcg,13 mcg DFE
Banana Cupcakes,12 servings,"['1/2 cup shortening (solid vegetable)', '3/4 cup sugar', '2 eggs (large)', '1 teaspoon vanilla extract', '1 1/2 cups flour', '1 teaspoon baking powder', '1/2 teaspoon baking soda', '1/2 teaspoon salt', '1 cup banana (mashed)']","['Preheat oven to 350 °F.', 'In a large mixing bowl, cream shortening and sugar using an electric mixer. Add eggs and vanilla, mixing well.', 'In a medium mixing bowl, combine flour, baking powder, baking soda, and salt.', 'Add dry ingredients (flour mixture) and bananas to creamed mixture (the egg mixture). Mix well until combined.', 'Place paper baking cups in muffin tin or lightly coat muffin tin with cooking spray. Fill muffin cups 2/3 full of batter.', 'Bake 20-22 minutes, until golden brown. Remove cupcakes from muffin tin and place on a rack to cool.']",Desserts,211,31 mg,10 g,29 g,1 g,15 g,3 g,31 mg,1 mg,14 mcg RAE,2 mg,0 mcg,53 mcg DFE
Banana Oat Cookies,25 Small Cookies,"['1 cup banana, mashed (use overripe banana)', '1 cup quick oats', '1/2 cup yogurt, low-fat plain', '1/4 cup water', 'raisins (1/2 cup, optional)', 'sunflower seeds (1/2 cup, optional)', 'spices, optional']","['Wash hands with soap and water. Make sure utensils and counter top are clean.', 'Mash bananas, mix with yogurt and water.', 'Add quick (not instant) oats. Mix well.', 'Add optional add-ins if you wish. Keep them minimal.', 'Add spices, to taste (optional).', 'The batter should be thick and easily spoonable.', 'Grease a baking sheet. Place a tablespoon of dough on the sheet, thin out to a flat disk. Repeat with remaining dough. Refrigerate if any is remaining in bowl.', 'Bake at 350-375 °F for 20 minutes. Flip and bake on other side 15 minutes to make crisper crust.']",Desserts,23,0 mg,0 g,4 g,1 g,1 g,1 g,11 mg,0 mg,1 mcg RAE,1 mg,0 mcg,3 mcg DFE
Banana Oatmeal Raisin Cookies,15 servings,"['3 bananas (ripe)', '1/3 cup margarine (or butter)', '2 cups quick-cooking oats (uncooked)', '1/4 cup skim milk', '1/2 cup raisins', '1 teaspoon vanilla extract']","['Preheat oven to 350 °F.', 'Put the margarine in a small saucepan. Melt it on low heat.', 'Put all the ingredients in a mixing bowl. Mix really well.', 'Let the mix stand for about 5 minutes, until the oats are wet.', 'Lightly grease the cookie sheet.', 'For each cookie, spoon out about 1 tablespoon of dough and drop it onto the greased cookie sheet.', 'Bake the cookies for 15 to 20 minutes.', 'Let the cookies cool on the cookie sheet for about 1 minute.', 'Move the cookies to wire racks or a towel. Let them cool completely.']",Desserts,114,0 mg,5 g,16 g,2 g,6 g,2 g,14 mg,1 mg,45 mcg RAE,2 mg,0 mcg,9 mcg DFE
Banana Waldorf,4 servings,"['3 bananas (peeled and sliced)', '1 apple (cored and sliced, with peel)', '4 cups yogurt (nonfat vanilla)', '1 pinch cinnamon', '1/8 cup walnuts']","['Wash hands with soap and water.', 'Mix all ingredients together in large mixing bowl.', 'Place in individual serving dishes and chill until ready to serve, up to 1 hour.', 'This dessert looks great when topped with a sprinkle of ground cinnamon.']",Desserts,312,5 mg,2 g,66 g,3 g,55 g,12 g,382 mg,1 mg,9 mcg RAE,12 mg,1 mcg,43 mcg DFE
Basic Custard,4 servings,"['1 egg', '2 tablespoons sugar', '1 cup skim milk (or reconstituted non-fat dry milk)', '1/2 teaspoon vanilla (optional)']","['Beat egg and sugar together in a saucepan.', 'Add milk.', 'Place saucepan with egg/milk mixture in another pan containing 1-2 inches boiling water.', 'Stir custard constantly while cooking. Cook until foam disappears and custard coats the spoon. Remove from heat.', 'Add flavoring and stir. Pour into individual dishes and cool in the refrigerator. Custard will be soft.']",Desserts,63,48 mg,1 g,9 g,0 g,9 g,4 g,82 mg,0 mg,57 mcg RAE,0 mg,1 mcg,9 mcg DFE
Berries with Banana Cream,4 Servings,"['1/3 cup yogurt, low-fat plain', '1/2 banana (ripe)', '1/2 ounce fruit juice (orange works well)', '2 cups sliced strawberries', '1 teaspoon honey', '1 dash cinnamon']","['Combine yogurt, banana, and juice and mash with a fork until most chunks are gone.', 'Wash and slice strawberries.', 'Top the berries with the yogurt banana mixture.', 'Top with honey and cinnamon.']",Desserts,60,1 mg,1 g,13 g,2 g,9 g,2 g,52 mg,0 mg,4 mcg RAE,52 mg,0 mcg,26 mcg DFE
Berry Bread Pudding,2 servings,"['1 1/2 cups berries (frozen blueberries, sliced strawberries, or raspberries, thawed)', '5 slices whole wheat bread (crusts removed)', '1/2 teaspoon sugar (optional)', 'vanilla yogurt, low-fat (optional)']","['Wash hands with soap and water.', 'Combine the thawed berries and sugar (if you choose to use the sugar).', 'Layer a spoonful of berries on the bottom of a small 2 cup deep dish. Cover the berries and the bottom of the dish with a layer of bread. Continue layering berries and bread until the dish is full, finishing with a layer of bread.', 'Cover the dish with plastic wrap and place a plate or bowl over the top of the berry dish that fits just inside of it. Place a heavy object on top to press down on the fruit and bread layers.', 'Refrigerate overnight. Check the dish to be sure juice does not run over the top. You may need to replace the heavy object with a lighter one to prevent spills.', 'Serve with a dollop of vanilla yogurt or a sprinkle of powdered sugar.']",Desserts,236,0 mg,3 g,44 g,7 g,13 g,9 g,122 mg,2 mg,2 mcg RAE,3 mg,0 mcg,38 mcg DFE
Berry Good Dessert,4 Servings,"['1 envelope unflavored gelatin', '2 cups sliced strawberries', '1 cup grape juice']","['Wash and slice the berries and then place in a shallow dish (9x9 inch brownie pan works well).', 'Combine gelatin and grape juice in a small pan and warm over low heat until the gelatin dissolves (about 5 minutes).', 'Pour gelatin and grape juice over berries and refrigerate until firm (about 1 hour).']",Desserts,148,0 mg,0 g,35 g,2 g,31 g,2 g,24 mg,1 mg,1 mcg RAE,65 mg,0 mcg,21 mcg DFE
Bread Pudding with Vanilla Sauce,6 servings,"['1 tablespoon margarine', '5 slices whole wheat bread', '3 eggs', '1/3 cup sugar', '1 dash salt', '2 cups milk, non-fat', '1 1/2 teaspoons vanilla extract', '1/4 cup raisins', '1 teaspoon cinnamon (and/or nutmeg)']","['Melt margarine in a medium sized skillet.', 'Tear bread in pieces and spread on bottom of skillet.', 'Beat eggs and stir in sugar, salt, warmed milk and vanilla. Sprinkle raisins over bread and pour egg mixture over all.', 'Cover and cook over very low heat for 20 minutes.', 'Pudding is done when custard is set in the middle.', 'Allow to cool in the skillet.', 'Prepare vanilla sauce while pudding cools.', 'Combine cornstarch and sugar in a small saucepan. Gradually add water, stirring well.', 'Cook until thick and clear, stirring constantly.', 'Add margarine and vanilla, stirring until margarine melts.', 'Spoon over individual servings of bread pudding.', 'Refrigerate leftover bread pudding and vanilla sauce within two hours.']",Desserts,271,95 mg,7 g,43 g,2 g,31 g,9 g,160 mg,1 mg,129 mcg RAE,0 mg,2 mcg,26 mcg DFE
Buttermilk Scones,9 Servings,"['1 cup whole-wheat flour', '3/4 cup all-purpose flour', '1/3 cup sugar', '1 teaspoon baking powder', '1/2 teaspoon baking soda', '1/4 teaspoon salt', '1 cup raisins', '4 tablespoons butter, melted (1/4 cup)', '2/3 cup buttermilk']","['Wash hands with soap and water.', 'Preheat oven to 400 °F.', 'Combine the flours, sugar, baking powder, baking soda and salt in a medium bowl. Mix well.', 'Add raisins and mix lightly.', 'In a small bowl, combine melted butter and buttermilk. Add liquid ingredients to flour mixture; mix gently.', 'Spoon dough into 9 equal mounds on a greased baking sheet. Bake until well browned, 18 to 20 minutes.', 'Serve hot or at room temperature. Best eaten the same day you bake them.']",Desserts,217,16 mg,6 g,39 g,2 g,18 g,4 g,67 mg,1 mg,52 mcg RAE,0 mg,0 mcg,38 mcg DFE
Caramel Sauce,12 servings,"['8 1/3 tablespoons milk (non-fat, dry, 1/2 cup + 1 teaspoon)', '1 1/4 cups water', '1 tablespoon cornstarch', '2 tablespoons butter', '1/2 cup brown sugar (packed)', '1 teaspoon vanilla extract']","['Wash hands with soap and water.', 'Reconstitute non-fat dried milk with water. Combine reconstituted milk and cornstarch in a small saucepan and mix until cornstarch in thoroughly dissolved.', 'Add the butter and brown sugar and cook over medium heat, stirring constantly with a wire whisk until mixture thickens and comes to a boil. Continue to boil 1 minute.', 'Remove pan from heat and stir in vanilla. Serve warm over baked French toast, ice cream, or fruit.']",Desserts,66,6 mg,2 g,11 g,0 g,10 g,1 g,46 mg,0 mg,37 mcg RAE,0 mg,0 mcg,2 mcg DFE
Carrot Cookies,30 servings,"['1/2 cup margarine (soft)', '1 cup honey', '1 cup carrots (grated)', '2 egg whites (well beaten)', '2 cups flour (all purpose)', '2 teaspoons baking powder', '1/4 teaspoon baking soda', '1/4 teaspoon salt', '1 teaspoon cinnamon', '2 cups oatmeal, quick cooking (raw)', '1 cup raisins']","['Wash hands with soap and water.', 'In a large bowl, cream together margarine and honey. Stir in carrots and egg whites.', 'Stir together flour, baking powder, baking soda, salt, cinnamon, oatmeal and raisins. Gradually stir flour-oatmeal mixture into creamed mixture, just until all flour is mixed. Do not over mix.', 'Drop from teaspoon on greased baking sheet. Flatten slightly and bake at 350 °F for 10 minutes, or until lightly browned.']",Desserts,119,0 mg,3 g,22 g,1 g,12 g,2 g,27 mg,1 mg,67 mcg RAE,0 mg,0 mcg,26 mcg DFE
Cherry Pineapple Delight,12 servings,"['2 cups water (boiling)', '1 package gelatin (8 serving size, cherry, sugar-free)', '1/2 teaspoon cinnamon', '1 can (20 oz) pineapple chunks (in juice, not drained)', '2 cans (11 oz) mandarin oranges (in light syrup, drained)', '16 ice cubes (large)']","['Wash hands with soap and water.', 'Pour boiling water into a large bowl. Add the gelatin and cinnamon to boiling water. Stir for at least 2 minutes until gelatin is completely dissolved.', 'Drain pineapple, reserving the juice. Add enough ice (or cold water) to the juice to measure 1 1/2 cups. Add the gelatin mixture and stir until the ice is completely melted.', 'Refrigerate for about 45 minutes or until the gelatin is slightly thickened (consistency of unbeaten egg white).', 'Reserve 1/4 cup each of the pineapple and orange. Add remaining pineapple and oranges to the gelatin. Pour into 1 1/2 quart serving bowl.', 'Refrigerate for 4 hours or until firm. Garnish with reserved pineapple and oranges.']",Desserts,88,0 mg,0 g,22 g,1 g,21 g,1 g,15 mg,0 mg,23 mcg RAE,15 mg,0 mcg,5 mcg DFE
Cherry Puff Pancake,4 Servings,"['3 eggs', '1/2 cup fat free (skim) milk (or 1% milk)', '1 teaspoon vanilla extract', '1/2 cup all-purpose flour', '1 tablespoon sugar', '1/8 teaspoon cinnamon', '2 tablespoons margarine (or butter)', '2 cups halved, pitted sweet cherries, fresh or frozen, thawed and drained', '¼ cup sliced almonds (optional)']","['Wash hands with soap and water.', 'Preheat oven to 450 °F.', 'In a medium bowl or blender, beat the eggs, milk, and vanilla together until well blended.', 'Mix the flour, sugar, and cinnamon together. Add to the liquid ingredients and mix until there are no lumps.', 'Put margarine or butter in a 10- or 11-inch oven proof skillet or a 2 1/2- to 3-quart baking dish. Place the skillet or dish in the hot oven until the margarine or butter is melted and bubbly. Remove from the oven. Quickly spread the cherries across the bottom of the hot skillet or dish.', 'Pour the batter over the cherries and sprinkle with almond slices, if using.', 'Return to the oven and bake for 15 to 20 minutes until the edges are browned and the puffs in the middle are golden. Cool slightly before cutting into 4 pieces. The center puffs will flatten during cooling.']",Desserts,235,140 mg,10 g,29 g,2 g,15 g,8 g,72 mg,2 mg,138 mcg RAE,5 mg,1 mcg,68 mcg DFE
Cherry Salad,4 Servings,"['1/2 cup pitted and halved sweet cherries', '1 cup cubed cantaloupe', '1 cup halved green grapes', '1 medium banana, peeled and sliced', '1/4 cup orange juice (juice from 1/2 orange)', '1/4 cup flaked coconut (optional)']","['Wash hands with soap and water.', 'In a large bowl, mix together the cut fruit.', 'Pour orange juice over fruit and stir in coconut, if desired.']",Desserts,85,0 mg,0 g,22 g,2 g,16 g,1 g,13 mg,0 mg,72 mcg RAE,28 mg,0 mcg,20 mcg DFE
Chocolate Chip Yogurt Cookies,36 servings,"['1/2 cup sugar', '1/2 cup brown sugar (firmly packed)', '1/2 cup margarine', '1/2 cup yogurt (non-fat, plain)', '1 1/2 teaspoons vanilla', '3/4 cup flour (all-purpose)', '1 cup flour (whole wheat)', '1/2 teaspoon baking soda', '1/2 cup chocolate chips (miniature, or carob chips)']","['Wash hands with soap and water.', 'Heat oven to 375 °F.', 'In a large bowl combine sugar, brown sugar and margarine; beat until light and fluffy.', 'Add yogurt and vanilla; blend well. Stir in flour and baking soda; mix well. Stir in chocolate chips.', 'Drop dough by rounded teaspoonfuls 2 inches apart onto un-greased cookie sheets. Bake at 375 °F for 8 to 12 minutes or until light and golden brown.', 'Cool 1 minute, remove from cookie sheets.']",Desserts,80,0 mg,3 g,12 g,1 g,7 g,1 g,12 mg,0 mg,26 mcg RAE,0 mg,0 mcg,10 mcg DFE
Chocolate Peanut Butter Frozen Bars,13 servings,"['2 packages sugar-free chocolate pudding (1.3 ounces each, instant or cook and serve type)', '3 1/2 cups skim milk', '1/4 cup peanut butter', '15 graham cracker rectangles (break crackers apart)']","['Wash hands with soap and water.', 'Mix pudding according to package directions, except use 3 1/2 cups milk. Beat in peanut butter.', 'Line a 9x13 inch pan with half the graham crackers. ', 'Spread pudding mixture over graham crackers. Top with remaining crackers.', 'Freeze for four hours.', 'Cut into squares and remove from pan.', 'Store in a plastic bag in the freezer.']",Desserts,135,1 mg,4 g,20 g,1 g,8 g,5 g,94 mg,1 mg,40 mcg RAE,0 mg,1 mcg,17 mcg DFE
