name,servings,ingredients,directions,type,calories,cholesterol,fat,carbohydrates,fiber,sugars,protein,calcium,iron,vitamin_a,vitamin_c,vitamin_d,folate
Banana Waldorf,4 servings,"['3 bananas (peeled and sliced)', '1 apple (cored and sliced, with peel)', '4 cups yogurt (nonfat vanilla)', '1 pinch cinnamon', '1/8 cup walnuts']","['Wash hands with soap and water.', 'Mix all ingredients together in large mixing bowl.', 'Place in individual serving dishes and chill until ready to serve, up to 1 hour.', 'This dessert looks great when topped with a sprinkle of ground cinnamon.']",Salads,312,5 mg,2 g,66 g,3 g,55 g,12 g,382 mg,1 mg,9 mcg RAE,12 mg,1 mcg,43 mcg DFE
Beet & White Bean Salad,4 Servings,[],"['Prepare dressing: In small bowl combine cider vinegar, Dijon mustard, and sugar. Gradually add olive oil until well blended. Season with salt and pepper.', 'Prepare Salad: In large bowl combine beets and white kidney beans; toss with dressing.', 'To serve, place arugula leaves on platter or in serving bowl; top with beet mixture.', 'Sprinkle with crumbled blue cheese and walnuts.']",Salads,420,13 mg,29 g,29 g,7 g,5 g,14 g,169 mg,3 mg,34 mcg RAE,3 mg,0 mcg,122 mcg DFE
"Beets, Beans, and Greens",6 Servings,"['1/4 cup lemon juice (or vinegar)', '1 garlic clove, finely chopped', '2 teaspoons mustard', 'salt and pepper (to taste, optional)', '2 tablespoons vegetable oil', '2 cups sliced cooked beets (can use canned or fresh)', '1 head of lettuce (washed and torn into pieces)', '2 cups cooked beans, rinsed (any kind)']","['To make dressing, combine lemon juice, garlic, mustard, oil, salt and pepper (optional) in a large bowl.', 'Place the sliced beets in a small bowl. Toss 1 tablespoon of the dressing with the beets to coat.', 'Toss the greens and beans with the remaining dressing in the large bowl.', 'Place onto plates and top with beets.']",Salads,150,0 mg,5 g,22 g,7 g,5 g,6 g,58 mg,2 mg,24 mcg RAE,8 mg,0 mcg,126 mcg DFE
Bell Pepper and Apple Coleslaw,4 Servings,[],"['Whisk together dressing ingredients.', 'Shred or thinly slice cabbage.', 'Cut apple and pepper into small chunks.', 'Place cabbage, apples, pepper and almonds in large bowl.', 'Drizzle with dressing and toss.']",Salads,154,0 mg,9 g,17 g,5 g,9 g,4 g,83 mg,1 mg,10 mcg RAE,99 mg,0 mcg,60 mcg DFE
Bell Pepper and Potato Salad,6 servings,"['6 small red potatoes (quartered)', '1/2 cup Italian dressing, light', '1 1/2 teaspoons mustard, spicy brown', '1 tablespoon parsley (chopped, fresh)', '3/4 teaspoon garlic salt', '1/4 teaspoon black pepper (ground)', '1/2 cup green bell pepper (chopped)', '1/2 cup red bell pepper (chopped)', '1/2 cup green onion (sliced)']","['Wash hands with soap and water.', 'Cook potatoes in boiling water over high heat until tender, about 10 minutes.', 'Drain well and let cool.', 'Place potatoes in a medium bowl and set aside.', 'In a small bowl, combine dressing, mustard, parsley, and seasonings.', 'Pour mixture over potatoes and toss well.', 'Carefully stir in bell peppers and green onions.', 'Cover and chill until ready to serve.']",Salads,138,0 mg,1 g,31 g,4 g,5 g,4 g,33 mg,2 mg,29 mcg RAE,43 mg,0 mcg,46 mcg DFE
Broccoli Salad,8 servings,"['6 cups broccoli (chopped)', '1 cup raisins', '1 red onion (medium, peeled and diced)', '2 tablespoons sugar', '8 bacon slices (cooked and crumbled, optional)', '2 tablespoons lemon juice', '3/4 cup mayonnaise, low-fat']","['Combine all ingredients in a medium bowl, and mix well.', 'Chill for 1 to 2 hours.', 'Serve.']",Salads,174,7 mg,9 g,23 g,3 g,16 g,3 g,44 mg,1 mg,22 mcg RAE,62 mg,0 mcg,46 mcg DFE
"Brussel Sprouts, Cranberry, and Bulgur Salad",5 Servings,"['1/3 cup dried bulgur', '1 cup boiling water', '2 cups Brussels sprouts (1/2 pound)', '1/2 cup dried cranberries', '1/4 cup chopped nuts (any type)', '1/4 cup orange juice', '2 tablespoons vegetable oil', '2 tablespoons vinegar', '1/4 teaspoon salt', '1/4 teaspoon pepper']","['Wash hands with soap and water.', 'Cover bulgur with boiling water and let stand until soft, about 30 minutes. Pour off any excess water.', 'Rinse and trim Brussels sprouts. Cut in half lengthwise then slice crosswise into thin strips.', 'In a large bowl combine bulgur, Brussels sprouts, cranberries and nuts.', 'In a small bowl or jar with a lid, combine orange juice, oil, vinegar, salt and pepper. Mix or shake well. Pour dressing over salad and serve.']",Salads,175,0 mg,10 g,21 g,4 g,9 g,3 g,29 mg,1 mg,15 mcg RAE,36 mg,0 mcg,38 mcg DFE
Bulgur Chickpea Salad,6 servings,"['1 1/4 cups water', '1 cup bulgur (coarse, available in bulk from natural foods stores)', '1 teaspoon dried parsley', '1/3 tablespoon minced onion', '1 teaspoon soy sauce, reduced sodium', '1/2 cup scallions (chopped, green onions)', '1/2 cup raisins', '1/2 cup carrot (chopped)', '3/4 cup canned chickpeas (garbanzo beans, drained and rinsed)']","['Bring water to boil in medium saucepan. Stir in bulgur, parsley, minced onion, and soy sauce. Cover and reduce heat; simmer 15-20 minutes (until all water is absorbed and bulgur is not too crunchy). Do not overcook.', 'Remove from heat and allow to cool; fluff with fork.', 'Combine dressing ingredients; stir well. Pour over bulgur mixture and mix well.', 'Stir in scallions, raisins, carrots, and chickpeas. Cover and chill for several hours. Store in refrigerator.']",Salads,220,0 mg,6 g,41 g,7 g,11 g,6 g,45 mg,2 mg,94 mcg RAE,29 mg,0 mcg,54 mcg DFE
Cabbage Salad,8 servings,"['4 cups cabbage (shredded or thinly sliced)', '1/4 cup carrot (grated or finely sliced)', '1/4 cup celery (thinly sliced)', '1/4 cup green pepper (chopped)', '1/3 tablespoon onion (finely chopped)', '1/2 teaspoon dill (or basil or parsley)', '1/2 cup mayonnaise, light or low-fat', '1/2 cup yogurt, non-fat plain', '1 teaspoon mustard', '1/2 teaspoon lemon juice', '1/2 teaspoon sugar']","['Wash hands with soap and water.', 'Wash and prepare vegetables for chopping.', 'Use a cheese grater or slice all vegetables thinly with a sharp knife.', 'Put in a large bowl.', 'Add herbs to taste.', 'Mix mayonnaise, yogurt, mustard, lemon juice, and sugar in a small bowl. Blend well. Add to vegetables.', 'Mix well. Keep in refrigerator until ready to eat.']",Salads,59,3 mg,4 g,6 g,1 g,4 g,2 g,50 mg,0 mg,38 mcg RAE,17 mg,0 mcg,20 mcg DFE
Caribbean Bean Salad,4 servings,"['4 cups romaine lettuce (chopped)', '1/4 cup red onion', '1 cup black beans (canned, drained and rinsed)', '1 orange (peeled and diced)', '1 tomato (diced)', '1 tablespoon olive oil', '3 tablespoons red wine vinegar', '1 teaspoon oregano (dried)', 'black pepper (to taste)']","['Wash hands with soap and water.', 'Toss all ingredients together in large salad bowl.', 'Serve immediately or refrigerate up to one hour.']",Salads,118,0 mg,4 g,18 g,6 g,5 g,5 g,65 mg,2 mg,100 mcg RAE,26 mg,0 mcg,92 mcg DFE
Carrot Raisin Salad,4 servings,"['4 carrots (medium, peeled, and grated)', '1/4 cup raisins', '2 teaspoons sugar', '1 lemon, juiced']","['Wash hands with soap and water.', 'In a medium bowl, thoroughly mix carrots, raisins, sugar, and lemon juice.', 'Serve chilled.']",Salads,63,0 mg,0 g,16 g,2 g,11 g,1 g,25 mg,0 mg,509 mcg RAE,8 mg,0 mcg,14 mcg DFE
Cherry Salad,4 Servings,"['1/2 cup pitted and halved sweet cherries', '1 cup cubed cantaloupe', '1 cup halved green grapes', '1 medium banana, peeled and sliced', '1/4 cup orange juice (juice from 1/2 orange)', '1/4 cup flaked coconut (optional)']","['Wash hands with soap and water.', 'In a large bowl, mix together the cut fruit.', 'Pour orange juice over fruit and stir in coconut, if desired.']",Salads,85,0 mg,0 g,22 g,2 g,16 g,1 g,13 mg,0 mg,72 mcg RAE,28 mg,0 mcg,20 mcg DFE
Chicken and Cranberry Salad,4 servings,"['12 ounces chicken, cooked and diced (1 1/2 cups)', '1/2 cup vinaigrette dressing', '1 cup dried cranberries (or cherries)', '1/8 cup almonds (sliced)', '1 head of lettuce (chopped)']","['Wash hands with soap and water.', 'Toss chicken, cranberries, and almonds with dressing.', 'Serve on a mound of chopped lettuce.']",Salads,339,81 mg,13 g,31 g,4 g,24 g,28 g,52 mg,1 mg,41 mcg RAE,4 mg,0 mcg,46 mcg DFE
Chicken Club Salad,4 servings,"['1 cup pasta (uncooked whole wheat, small, such as macaroni or rotelle)', '6 cups Romaine lettuce (well washed and torn, or spinach)', '2 cups green peppers, fresh, chopped (or choose a combination of bell peppers, celery, cauliflower florets, cucumber, carrots*)', '2 cups tomatoes (chopped)', '1 1/2 cups cubed cooked skinless chicken (1/2 pound skinless, boneless chicken)', '1/2 cup Italian dressing (lowfat)', '1 egg (hard cooked, optional)', '1/4 cup cheese (shredded, or cheese crumbles)']","['Wash hands with soap and water.', 'Cook pasta according to package directions; drain and cool.', 'Place 1 1/2 cups of the Romaine lettuce in each of 4 large bowls or plates.', 'Combine chopped vegetables, chicken, and pasta.', 'Add dressing; toss lightly to coat. Divide evenly among the 4 bowls.', 'Top each serving with a few egg slices, if desired, and 1 tablespoon of the shredded cheese.']",Salads,292,103 mg,12 g,23 g,4 g,8 g,23 g,112 mg,2 mg,219 mcg RAE,78 mg,0 mcg,131 mcg DFE
Chicken Pasta Salad,7 Servings,"['2 cups cooked small pasta', '1 1/2 cups canned chicken (drained)', '1 cup diced bell pepper', '1/2 cup sliced green onion', '1 cup shredded yellow squash', '1/2 cup canned corn kernels (drained)', '1/2 cup frozen peas', '1 can (15 oz) black beans, low sodium (rinsed and drained)', '1/2 cup fat-free Italian dressing']","['Wash hands with soap and water.', 'Cook pasta according to package directions, drain; rinse.', 'Combine first eight ingredients (pasta through black beans) in a large bowl.', 'Toss gently with salad dressing.', 'Chill for several hours to blend flavors.']",Salads,235,22 mg,4 g,30 g,7 g,4 g,19 g,48 mg,3 mg,45 mcg RAE,25 mg,0 mcg,111 mcg DFE
Chicken Rice Salad,4 servings,"['4 cups lettuce', '2 cups brown rice (cooked)', '2 cups chicken breast, skinless roasted', '1 tomato (cored and diced)', '1 green pepper (cored and diced)', '1 tablespoon olive oil', '1 lemon, juiced', '2 tablespoons vinegar (flavored)', 'hot pepper sauce (optional)', 'Italian herb mix and black pepper to taste (optional)']","['Wash hands with soap and water.', 'Toss all ingredients together in a large salad bowl.', 'Use personal taste preferences to determine the amounts of seasonings.', 'Serve immediately. This salad looks great when served on a large plate with a few of the seasonings sprinkled on top.']",Salads,272,68 mg,7 g,27 g,3 g,3 g,25 g,41 mg,2 mg,115 mcg RAE,35 mg,0 mcg,59 mcg DFE
Chicken Salad with Ramen Noodles,8 servings,"['1 package Ramen noodles (any flavor)', '8 cups cabbage (shredded, or cabbage salad mix)', '1/4 cup scallions (minced)', '1 cup bell pepper (red or green)', '2 chicken breast (cooked and chilled, cut into cubes)', '1/2 cup peanuts (dry roasted, unsalted)']","['Wash hands with soap and water.', 'Break up noodles. Set aside.', 'In a small bowl make dressing with sugar, vinegar, olive oil, and flavor packet. Stir well.', 'In a large bowl, add peppers, scallions, unsalted peanuts, and other vegetables if you like. Add cooked chicken and cabbage.', 'Pour on the dressing and combine. Sprinkle noodles on top.', 'Serve cold.']",Salads,188,21 mg,10 g,14 g,3 g,4 g,11 g,43 mg,1 mg,10 mcg RAE,41 mg,0 mcg,60 mcg DFE
Chicken Waldorf Salad,4 Servings,"['1/3 cup low-fat mayonnaise', '1/3 cup nonfat or low-fat plain yogurt', '2 teaspoons lemon juice', '1/4 teaspoon salt', '3 cups cooked chicken breast, chopped', '1 medium red apple, diced', '1 cup red or green grapes, halved', '1 cup celery, sliced', '1/2 cup chopped walnuts, divided (toasted if desired)']","['Whisk mayonnaise, yogurt, lemon juice and salt in a large bowl.', 'Add chicken, apple, grapes, celery, and half of the walnuts. Stir to coat well.', 'Serve topped with the remaining walnuts.']",Salads,356,78 mg,16 g,23 g,3 g,15 g,31 g,109 mg,2 g,16 mcg RAE,8 mg,0 mcg,35 mcg DFE
"Chicken, Rice, and Fruit Salad",3 servings,"['1 cup brown or white rice, cooked', '2 teaspoons parsley, dried (or 2 Tablespoons fresh, finely chopped)', '1/2 teaspoon black pepper (ground)', '1/4 clove garlic (finely chopped)', '1 tablespoon ranch dressing, fat-free', '2 tablespoons mayonnaise, fat-free', '1 cup apple or cantaloupe (cut into chunks)', '1/3 cup grape halves (red or purple, cut into chunks)', '1/2 cup celery (chopped)', '1 1/4 cups chicken, cooked (cut into bite-size pieces)', '6 lettuce leaves']","['Wash your hands with soap and water.', 'If not using leftover or ""planned over"" rice, cook rice according to package directions without adding salt. Chill.', 'In a serving bowl, mix parsley, black pepper, garlic, dressing, and mayonnaise together.', 'Add cooled rice, apple, grapes, celery, and chicken. Stir gently.', 'Serve cold on a bed of clean lettuce leaves, if desired.', 'Cover and refrigerate leftovers within 2 hours.']",Salads,216,55 mg,3 g,28 g,3 g,9 g,19 g,35 mg,1 mg,35 mcg RAE,4 mg,0 mcg,26 mcg DFE
Citrus Salad,8 servings,"['1 grapefruit (peeled)', '1 orange (peeled)', '10 cups fresh greens (lettuce)', '1 red onion (small, sliced thin)', '2 tablespoons cider vinegar', '1 tablespoon lime juice', '1 tablespoon vegetable oil', '1 tablespoon water', '1/4 teaspoon black pepper', '1/4 teaspoon cumin']","['Wash hands with soap and water.', 'Cut fruit into bite size pieces.', 'Toss with lettuce and onion. Mix remaining ingredients for dressing. Drizzle over salad and toss just before serving.']",Salads,48,0 mg,2 g,8 g,2 g,6 g,1 g,26 mg,0 mg,34 mcg RAE,23 mg,0 mcg,30 mcg DFE
Cobb Salad with Pears,6 Servings,[],"['For the dressing, mix pear juice, vinegar, honey, mustard, and salt and pepper and olive oil in a blender.', 'Put mixed greens in large mixing bowl, drizzle dressing over greens and mix together.', 'Add remaining chopped pear, walnuts, and grated carrots and toss lightly.', 'Portion out 1 cup of salad and top with 1/2 tablespoon grated Parmesan cheese.']",Salads,64,,3 g,10 g,2 g,6 g,2 g,45 mg,1 mg,360 mcg RAE,14 mg,,
Confetti Grain Salad,6 servings,"['1 1/2 cups brown rice, uncooked', '3 cups water', '2 lemons (juiced)', '3 green onions (also called scallions)', '1/4 cup parsley (minced)', '1/2 teaspoon salt', '1 dash black pepper (to taste)', '1/4 cup olive oil (or other vegetable oil)', '1 1/2 cups vegetables (of your favorite, cut into small pieces)']","['Wash hands with soap and water.', 'Wash rice and put into a 2-quart pot with water. Bring to boil, then lower heat to simmer, and cook uncovered until all the water is absorbed. (approximately 45 minutes)', 'Pour into medium sized bowl and allow to cool.', 'Pour lemon juice over rice and stir. When rice is cooled to lukewarm, add vegetables, salt, pepper, and oil.', 'Stir and chill at least 1 hour. This dish also can be served warm.']",Salads,288,0 mg,11 g,43 g,5 g,3 g,6 g,41 mg,1 mg,111 mcg RAE,12 mg,0 mcg,27 mcg DFE
Confetti Slaw,8 servings,"['1/4 head of cabbage (green)', '2 carrots', '1/4 cup raisins', '1/4 cup peanuts', '1/2 cup yogurt, low-fat vanilla', '1/16 cup orange juice (1 tablespoon)']","['Wash hands with soap and water.', 'Slice and cut cabbage into thin strips. Place pieces in large mixing bowl.', 'Peel and grate carrots. Add to mixing bowl.', 'Measure raisins and peanuts. Add to mixing bowl.', 'Mix all ingredients together.', 'Combine yogurt and orange juice in small bowl.', 'Add yogurt mixture to cabbage mixture, stirring to combine ingredients thoroughly.']",Salads,68,1 mg,3 g,10 g,2 g,7 g,3 g,48 mg,0 mg,131 mcg RAE,12 mg,0 mcg,23 mcg DFE
Corn and Bean Medley,4 servings,"['1/4 cup onion (chopped)', '1 cup corn (canned, whole-kernel)', '3/4 cup kidney beans (dry, cooked)', '3/4 teaspoon chili powder', 'hot pepper flakes (1/4 teaspoon, optional)']","['Wash hands with soap and water.', 'Drain the canned corn, but reserve the liquid from the can.', 'Heat 3 tablespoons of liquid from canned corn in saucepan.', 'Cook onion in liquid until soft, about 2 minutes.', 'Add corn, kidney beans, chili powder, and hot red pepper flakes to onion mixture.', 'Cook over low heat for about 10 minutes.']",Salads,78,0 mg,1 g,16 g,4 g,2 g,4 g,15 mg,1 mg,8 mcg RAE,2 mg,0 mcg,57 mcg DFE
Corn and Green Chili Salad,4 servings,"['2 cups corn (frozen and thawed)', '1 can diced tomatoes with green chilies (10 ounce)', '1/2 tablespoon vegetable oil', '1 tablespoon lime juice', '1/3 cup green onion (sliced)', '2 tablespoons cilantro (fresh chopped)']","['Wash hands with soap and water.', 'Combine all ingredients in a medium bowl.', 'Mix well.']",Salads,96,0 mg,3 g,18 g,2 g,6 g,3 g,23 mg,1 mg,27 mcg RAE,12 mg,0 mcg,45 mcg DFE
Corn Salad with Fat-free Ranch Dressing,6 servings,"['2 cups whole kernel corn (fresh or frozen - cooked and drained)', '3/4 cup tomato (chopped)', '1/2 cup green pepper (chopped)', '1/2 cup celery (chopped)', '1/4 cup onion (chopped)', '1/4 cup Ranch dressing, fat-free']","['Wash hands with soap and water.', 'In bowl, combine vegetables.', 'Stir in dressing.', 'Cover and refrigerate until ready to serve.']",Salads,67,0 mg,1 g,15 g,2 g,3 g,2 g,15 mg,1 mg,14 mcg RAE,18 mg,0 mcg,35 mcg DFE
Corn Salad with Fresh Basil and Lemon,6 Servings,"['6 ears of corn (about 3 cups)', '2 tablespoons chopped red onion', '2 tablespoons lemon juice', 'teaspoon sugar (pinch)', '2 tablespoons olive oil', '1 tablespoon chopped fresh basil (or 1 tsp dried basil)']","['Wash hands with soap and water.', 'Cook corn in boiling water or in the microwave.', 'Cut corn from the cob. Add onion.', 'In a small bowl, whisk together lemon juice and sugar. Add oil and combine.', 'Stir the oil/lemon mixture, basil, and salt and pepper to taste (optional).', 'Refrigerate at least 30 minutes.']",Salads,120,0 mg,6 g,17 g,2 g,6 g,3 g,4 mg,1 mg,9 mcg RAE,8 mg,0 mcg,39 mcg DFE
"Corn, Blueberry, and Wild Rice Salad",8 servings,"['6 ears sweet corn, husked (or 1 ½ cups frozen corn or canned corn, drained)', '1 cup frozen blueberries', '1 small cucumber, finely chopped', '1/4 cup finely chopped red onion', '1/4 cup chopped fresh cilantro', '1 cup wild rice, cooked', '1 jalapeno pepper', '4 tablespoons lime juice', '4 tablespoons olive oil', '2 tablespoons honey or maple syrup', '1/2 teaspoon ground cumin', '1/2 teaspoon salt']","['In a large pot, bring salted water to a boil.Add corn. Cook covered for 5 minutes, or until tender. If using corn on the cob, remove corn from the cob after cooking.', 'In a serving bowl, combine corn, blueberries, cucumber, red onion, cilantro, wild rice, and jalapeno.', 'For dressing: in a screw-top jar, combine lime juice, oil, honey, cumin, and salt. Cover and shake well to combine. If you do not have a screw-top jar you can whisk ingredients in a small bowl.', 'Add dressing to salad and toss.']",Salads,172,0 mg,8 g,26 g,3 g,11 g,3 g,12 mg,1 mg,10 mcg RAE,12 mg,0 mcg,41 mcg DFE
Country Style Potato Salad,4 servings,"['3 potatoes (medium)', '1 cup celery (chopped)', '1/2 cup onion (minced)', '1 cup peas (frozen)', '1 teaspoon mustard (prepared)', '1/2 cup mayonnaise, low-fat', '1/2 cup yogurt, non-fat plain', 'black pepper (fresh cracked, to taste)', 'lettuce and tomato (Garnish, optional)']","['Wash hands with soap and water.', 'Wash potatoes, leave skin on and cut in bite-sized chunks.', 'Place in pan and cover with water. Bring to a boil, lower to simmer and cook uncovered until potatoes are tender, about 20 minutes.', 'Drain in colander and sprinkle lightly with cold water.', 'In the mean time, put the rest of the ingredients in a large mixing bowl. Drain potatoes well and add to the bowl.', 'Mix well and refrigerate until ready to use.', 'Garnish with fresh lettuce and sliced tomatoes.']",Salads,287,10 mg,12 g,38 g,6 g,7 g,8 g,105 mg,2 mg,22 mcg RAE,49 mg,0 mcg,66 mcg DFE
Cranberry Salad,10 Servings,"['3 packages strawberry gelatin (3 oz. packages, can also use raspberry)', '4 cups water', '1 can cranberry sauce', '1/4 cup sugar', '2 tablespoons orange peel rind (grated)', '2 tablespoons lemon juice', '1 cup crushed pineapple (drained)', '2 cups diced celery', '3/4 cup walnuts']","['Wash hands with soap and water.', 'Make gelatin and refrigerate until partially set.', 'Beat cranberry sauce.', 'Grate orange peel into sugar and add to cranberry sauce with rest of ingredients.', 'Fold mixture into partially set gelatin. Refrigerate until set. Serve.']",Salads,267,0 mg,6 g,52 g,2 g,48 g,4 g,32 mg,1 mg,6 mcg RAE,7 mg,0 mcg,20 mcg DFE
Crunchy Chicken Salad,5 servings,"['2 cups cooked chicken (chunked)', '1/2 cup celery', '1/4 cup green pepper', '1/4 onion', '1/2 cucumber', '1/2 cup grapes', '1 apple (small, diced, leave the peel on)', '1/4 cup yogurt, plain']","['Wash hands with soap and water.', 'Use leftover cooked chicken, or cook enough chicken to make 2 cups of chicken pieces.', 'Chop the celery and green pepper into small pieces.', 'Peel and chop 1/4 of an onion.', 'Peel and chop half of a cucumber.', 'Chop the apple into pieces. It’s okay to leave the peel on the apple.', 'Cut the grapes in half.', 'Put all the ingredients in a large bowl. Stir together.']",Salads,123,53 mg,2 g,8 g,1 g,6 g,17 g,38 mg,0 mg,11 mcg RAE,9 mg,0 mcg,14 mcg DFE
Cuban Salad,4 Servings,[],"['Put the oil, lime juice, garlic, salt, and pepper in the small bowl and mix well. Lemon juice can be used instead of lime juice.']",Salads,154,0 mg,11 g,14 g,7 g,5 g,3 g,119 mg,2 mg,472 mcg RAE,48 mg,0 mcg,224 mcg DFE
Cucumber Blueberry Salad,4 Servings,[],"['In a small bowl whisk together vinaigrette ingredients.', 'In a large bowl mix together all salad ingredients, except bread.', 'When ready to serve, add vinaigrette to salad and toss.', 'Toast bread, then cut into four pieces.']",Salads,212,8 mg,10 g,24 g,4 g,10 g,7 g,143 mg,1 mg,39 mcg RAE,11 mg,0 mcg,50 mcg DFE
