name,servings,ingredients,directions,type,calories,cholesterol,fat,carbohydrates,fiber,sugars,protein,calcium,iron,vitamin_a,vitamin_c,vitamin_d,folate
Arroz Con Pollo (Chicken and Rice),6 servings,"['2 tablespoons vegetable oil', '1 chicken (whole, cut up, skin removed)', '1 green pepper (chopped)', '1 onion (chopped)', '3 garlic cloves (minced)', '2 tomatoes (chopped)', '2 1/4 cups chicken broth (low-sodium)', '1 bay leaf', '1 cup rice (uncooked)', '1 cup peas', 'salt (to taste, optional)', 'pepper (to taste, optional)']","['Wash hands with soap and water.', 'In a large skillet heat oil and brown chicken on both sides.', 'Add green pepper, onion, and garlic and cook for about 5 minutes.', 'Add tomato, chicken broth, bay leaf, salt pepper to taste.', 'Cover and cook for 20 minutes.', 'Add rice, stir well, cover and simmer for 20-30 minutes longer, or until all liquid has been absorbed and chicken is tender.', 'Add peas, cook until hot.']",Main,556,94 mg,33 g,35 g,3 g,4 g,30 g,46 mg,3 mg,119 mcg RAE,32 mg,0 mcg,123 mcg DFE
Asian Mango Chicken Wraps,4 Servings,"['2 ripe mangos (peeled, pitted, and diced)', '1 1/2 cups chopped roasted chicken breast', '2 green onions (sliced)', '2 tablespoons fresh basil (chopped)', '1/2 red bell pepper (chopped)', '1 1/2 cups shredded Savoy or Napa cabbage', '2 medium carrots (grated)', '1/3 cup fat-free cream cheese', '3 tablespoons natural creamy peanut butter (unsalted)', '2 teaspoons low-sodium soy sauce', '4 whole-wheat tortillas (8"")']","['Cut mangos, vegetables, and chicken. Place in a mixing bowl and toss until well mixed.', 'In a small mixing bowl, whisk together cream cheese, peanut butter, and soy sauce.', 'To assemble: lay out tortillas on a flat surface. On each tortilla, spread 1/4 of cream cheese mixture and top with mango, vegetable, and chicken mix. Roll up tightly, tucking in ends of tortilla. Secure with toothpicks.', 'To serve, cut each wrap in half.', 'If not serving immediately, refrigerate; keeps well overnight.']",Main,440,50 mg,12 g,57 g,9 g,29 g,29 g,250 mg,3 mg,334 mcg RAE,96 mg,0 mcg,105 mcg DFE
"Avocado, Potato, and Grilled Chicken Salad",4 Servings,"['3 medium red potatoes', '1 fresh, ripe avocado', '1 teaspoon lemon juice', '4 green onions (chopped)', '1/2 medium red bell pepper (chopped)', '8 ounces frozen pre-cooked grilled chicken strips (about 8 strips) (thawed, cut into bite-size pieces)', '1 tablespoon olive oil', '1 tablespoon cider vinegar', '1/2 cup lemon non-fat yogurt', '1 teaspoon ground black pepper']","['In a medium sauce pan, boil potatoes about 20 minutes, until just tender; run under cold water to cool, and cut into chunks.', 'Peel avocado and cut into chunks; coat with lemon juice.', 'Whisk olive oil, vinegar, yogurt, and pepper in a small bowl.', 'Place all ingredients in large bowl. Gently toss.']",Main,300,40 mg,11 g,34 g,6 g,6 g,19 g,60 mg,2 mg,37 mcg RAE,,0 mcg,79 mcg DFE
Baked Chicken,5 servings,"['1 pound chicken, boneless, skinless', '1 teaspoon garlic powder', '1 teaspoon pepper', 'salt (optional)']","['Wash hands with soap and water.', 'Preheat the oven to 350 °F.', 'Put the chicken in a baking pan or casserole dish.', 'Sprinkle with garlic powder and pepper to taste.', 'Bake for 1 hour.']",Main,112,56 mg,2 g,1 g,0 g,0 g,21 g,12 mg,1 mg,4 mcg RAE,0 mg,0 mcg,3 mcg DFE
Baked Chicken Nuggets,4 servings,"['1 1/2 pounds chicken thighs, boneless, skinless', '1 cup ready-to-eat cereal, cornflakes, crumb', '1 teaspoon paprika', '1/2 teaspoon Italian herb seasoning', '1/4 teaspoon garlic powder', '1/4 teaspoon onion powder']","['Remove skin and bone; cut thighs into bite-sized pieces.', 'Place cornflakes in plastic bag and crush by using a rolling pin.', 'Add remaining ingredients to crushed cornflakes. Close bag tightly and shake until blended.', 'Add a few chicken pieces at a time to crumb mixture. Shake to coat evenly.']",Main,175,67 mg,8 g,7 g,1 g,1 g,18 g,13 mg,3 mg,54 mcg RAE,2 mg,0 mcg,45 mcg DFE
Baked Chicken with Vegetables,6 servings,"['4 potatoes (sliced)', '6 carrots (sliced)', '1 onion (large, quartered)', '1 chicken (raw, - cut into pieces, skin removed)', '1/2 cup water', '1 teaspoon thyme', '1/4 teaspoon pepper']","['Preheat oven to 400 °F.', 'Place potatoes, carrots, and onions in a large roasting pan.', 'Put chicken pieces on top of the vegetables.', 'Mix water, thyme, and pepper. Pour over chicken and vegetables.', 'Spoon juices over chicken once or twice during cooking.', 'Bake at 400 °F for one hour or more until browned and tender.']",Main,485,94 mg,27 g,33 g,5 g,5 g,27 g,59 mg,3 mg,579 mcg RAE,33 mg,0 mcg,46 mcg DFE
Baked Fish,4 Servings,"['nonstick cooking spray', '1 pound fish fillets (whitefish, trout, or tilapia)', '1 onion, sliced', '1/4 teaspoon salt', '1/4 teaspoon black pepper', '2 teaspoons vegetable oil', '1/4 teaspoon lemon pepper seasoning (optional)']","['Preheat oven to 350 °F.', 'Place about a 12-inch piece of foil on the counter. Coat the foil with nonstick cooking spray.', 'Place the fillets in the middle of the foil. If the fillets have skin, place the skin side down.', 'Spread the onions, salt, pepper, and oil on top of the fillets. If using lemon pepper seasoning, add that too.', 'Fold the foil over the fish to wrap it. Place foil pouch on a baking sheet, and place it in the oven.', 'Bake the fish for 15 to 20 minutes until the fish is flaky when tested with a fork.', 'Divide into four portions and serve.']",Main,156,57 mg,4 g,6 g,1 g,4 g,23 g,19 mg,1 mg,0 mcg RAE,2 mg,3 mcg,10 mcg DFE
Baked Fish and Vegetables,4 servings,"['4 4-ounce white fish fillets (frozen, or cod or perch)', '2 cups mixed vegetables (frozen)', '1 onion (small, diced)', '1 teaspoon lemon juice (or fresh lemon, sliced thin)', '1 tablespoon parsley flakes (dried or fresh chopped)', 'aluminum foil (10x12 inches square)']","['Preheat oven to 450 °F.', 'Separate and place fish fillets in center of each tin foil square.', 'Combine frozen vegetables and diced onion in bowl and mix. Spoon vegetables around fillets.', 'Sprinkle with lemon juice (or top with lemon slice) and add parsley on top. Fold ends of tin foil together to form leak-proof seal.', 'Bake for 10 minutes. Serve.', 'Refrigerate leftovers.']",Main,145,49 mg,1 g,15 g,5 g,4 g,19 g,42 mg,1 mg,196 mcg RAE,6 mg,1 mcg,30 mcg DFE
Baked Fish with Creole Sauce,4 Servings,"['1 pound fish fillets (fresh or frozen, unbreaded)', '1/2 onion (thinly sliced)', '1/2 green pepper (thinly sliced)', '1 can tomato sauce (8 ounce)', '1 teaspoon chili powder', '1/8 teaspoon pepper', 'salt (1/4 teaspoon, optional)']","['Thaw fish in refrigerator overnight.', 'Preheat oven to 375 °F.', 'Arrange fish in a single layer in baking dish.', 'Top fish with onion and pepper slices.', 'In a separate bowl, mix tomato sauce, chili powder, salt, and pepper.', 'Pour tomato sauce mixture over fish and vegetables.', 'Cover dish and bake until fish flakes easily with a fork (20-30 minutes).', 'Refrigerate leftovers.']",Main,111,50 mg,1 g,7 g,2 g,4 g,17 g,31 mg,1 mg,33 mcg RAE,19 mg,1 mcg,19 mcg DFE
Baked Lemon Chicken,5 servings,"['3 1/2 pounds chicken (skinned and cut into 10 pieces)', '1/4 teaspoon salt', '1/4 teaspoon pepper', '1 1/2 cloves of garlic (thinly sliced, or 1 tsp garlic powder)', '4 teaspoons thyme sprigs (4 fresh sprigs, or 1 tsp dried thyme)', '3 cups onion (thinly sliced)', '1 1/2 cups chicken stock (or water)', '1/4 cup lemon juice', '1 lemon (sliced into 10 slices, seeds removed)']","['Combine salt, pepper, garlic, and thyme.', 'Lay chicken pieces into a 11x13 inch baking pan. Sprinkle seasonings over chicken.', 'Combine onions, stock, and lemon juice in a sauce pan. Heat to a boil.', 'Pour hot lemon mixture around chicken. Top each chicken piece with a lemon slice.', 'Bake for 30 minutes at 400 °F until golden brown and juices are clear colored.']",Main,261,123 mg,5 g,12 g,2 g,5 g,40 g,54 mg,3 mg,26 mcg RAE,23 mg,0 mcg,34 mcg DFE
Baked Lentils Casserole,5 servings,"['1 cup lentils (rinsed)', '3/4 cup water', '1/2 teaspoon salt', '1/4 ground black pepper (1/4 teaspoon, optional)', '1/2 cup onion (chopped)', '1/4 garlic powder (1/4 teaspoon, optional)', '1 can tomatoes', '2 carrots (thinly sliced)', '1/2 cup cheddar cheese (shredded)']","['Combine lentils, water, seasonings, onion, and tomatoes.', 'Place in 2 quart casserole dish.', 'Cover tightly with lid or foil.', 'Bake at 350 °F for 30 minutes.', 'Remove from oven and add carrots. Stir.', 'Cover and bake 30 minutes longer.', 'Remove cover and sprinkle cheese on top.', 'Bake, uncovered 5 minutes, until cheese melts.']",Main,200,12 mg,4 g,29 g,11 g,6 g,14 g,142 mg,4 mg,250 mcg RAE,15 mg,0 mcg,212 mcg DFE
Baked Meatballs,8 servings (3 meatballs),"['1 pound ground beef, 90% lean (or ground turkey)', '1 egg', '1/2 teaspoon dried parsley', '1/2 cup bread crumbs', '1/2 cup milk, 1% (or non-fat)', '1/4 teaspoon pepper', '1 teaspoon onion powder']","['Mix all ingredients, shape into balls (about 24 meatballs).', 'Arrange on baking sheets that have been sprayed with non-stick cooking spray.', 'Bake at 425 °F for 12-15 minutes. It is best to use a food safety thermometer to check for doneness. It should read 160 °F for ground beef and 165 °F for ground turkey.', 'If meatballs are being saved for future use, chill rapidly; package in amounts needed per meal and freeze immediately.']",Main,131,59 mg,6 g,6 g,0 g,1 g,13 g,43 mg,2 mg,19 mcg RAE,0 mg,0 mcg,18 mcg DFE
Baked Parmesan Fish,4 Servings,"['1/3 cup parmesan cheese, non-fat (grated)', '1/3 tablespoon flour, all-purpose (1 teaspoon)', '1 teaspoon thyme sprigs (leaves removed and crushed)', '4 fish fillets (white fish, 6 ounces each)', '1 medium onion (chopped)', '1 cup halved mushroom caps', '1/2 cup green onions (finely sliced)', '1 clove garlic (crushed)']","['Preheat oven to 350 °F. Place cheese, flour, and thyme in paper bag.', 'Individually coat fish by gently shaking in bag; discard coating ingredients.', 'Place fillets in baking pan on rack. Bake for 20 minutes or until fish flakes easily when tested with fork.', 'Heat skillet over medium-high heat. Add onion, mushrooms, green onions, and garlic. Cook, stirring frequently, until onions are tender. Season with ground black pepper.', 'Serve baked fish topped with mushroom mixture.']",Main,204,122 mg,2 g,8 g,1 g,2 g,37 g,173 mg,2 mg,33 mcg RAE,5 mg,2 mcg,25 mcg DFE
Baked Pork Chops,6 servings,"['6 pork chops (lean center-cut, 1/2-inch thick)', '1 onion (medium, thinly sliced)', '1/2 cup green pepper (chopped)', '1/2 cup red pepper (chopped)', '1/8 teaspoon black pepper', '1/4 teaspoon salt']","['Wash hands with soap and water.', 'Trim fat from pork chops. Place chops in a 13x9 inch baking pan.', 'Spread onion and peppers on top of chops. Sprinkle with pepper and salt. Refrigerate for 1 hour.', 'Preheat oven to 375 °F.', 'Cover pan and cook 30 minutes.', 'Uncover, turn chops and re-cover with onions and peppers, and continue cooking for an additional 15 minutes or until internal temperature reaches 145 °F.', 'Garnish with fresh parsley.']",Main,225,88 mg,5 g,3 g,1 g,2 g,38 g,17 mg,1 mg,24 mcg RAE,27 mg,1 mcg,10 mcg DFE
Baked Tofu,4 servings,"['2 tablespoons soy sauce, reduced sodium', '1 clove garlic (minced, or 1/4 teaspoon garlic powder)', '1 teaspoon fresh ginger (minced, optional)', '1 teaspoon vegetable oil', '1 package tofu (firm or extra firm, water packed, 14 ounces, drained)']","['Wash hands with soap and water.', 'Preheat oven to 350 °F. Line a rimmed baking sheet with foil.', 'Drain water from tofu. Wrap tofu in paper towels. Let set for about 5 minutes.', 'While tofu is draining, combine soy sauce, garlic, ginger, and vegetable oil in a small bowl.', 'Slice tofu into 1/2 inch thick slices. Place tofu slices on foil lined baking sheet.', 'Pour soy sauce mixture over tofu. Using a spatula or pancake turner, gently turn slices over to coat both sides with sauce.', 'Bake tofu for 15 minutes. Turn slices over and bake for another 15 minutes. Tofu should be light golden brown and firm.', 'Serve hot in place of meat or cut into slices or cubes and add to a stir-fry, fried rice, soup, or salad.']",Main,84,0 mg,5 g,2 g,1 g,1 g,9 g,202 mg,2 mg,0 mcg RAE,0 mg,0 mcg,20 mcg DFE
Baked Trout,6 servings,"['2 pounds trout fillets (or other fish, cut into six pieces)', '3 tablespoons lime juice (or about 2 limes)', '1 tomato (medium, chopped)', '1/2 onion (medium, chopped)', '3 tablespoons cilantro (chopped)', '1/2 teaspoon olive oil', '1/4 teaspoon black pepper', '1/4 teaspoon salt', '1/4 teaspoon red pepper (optional* - used in analysis)']","['Preheat oven to 350 °F.', 'Rinse fish and pat dry. Place in baking dish.', 'In a separate dish, mix remaining ingredients together and pour over fish.', 'Bake for 15 to 20 minutes or until fork-tender.']",Main,153,69 mg,4 g,3 g,1 g,1 g,24 g,84 mg,1 mg,39 mcg RAE,14 mg,,22 mcg DFE
Barley Jambalaya,6 Servings,"['1 cup instant pearl barley', '4 cups water', '2 whole bay leaves', '3 medium onions', '2 small celery stalks', '1 cup diced green, red, yellow, or orange bell pepper', '2 medium cloves garlic', '1 tablespoon canola oil', '4 ounces ground turkey', '2 (14.5-oz) cans diced tomato (no salt added)', '1 teaspoon salt', '1/2 teaspoon ground cayenne pepper', '1 1/2 teaspoons dried oregano', '1 teaspoon ground black pepper']","['In a colander, rinse barley under cold water.', 'In a medium pot over high heat, bring barley, water, and bay leaves to a boil. Reduce heat to low and cover. Cook barley until tender and water is absorbed, about 20-30 minutes.', 'In a colander, drain barley. Set aside.']",Main,230,15 mg,5 g,41 g,9 g,9 g,9 g,80 mg,3 mg,45 mcg RAE,48 mg,0 mcg,51 mcg DFE
Basic Quiche,6 servings,"['1 pie crust (baked, 9-inch)', '1 cup vegetables (chopped, broccoli, zucchini, or mushrooms)', '1/2 cup cheese (shredded)', '3 eggs (beaten)', '1 cup milk (non-fat)', '1/2 teaspoon salt', '1/2 teaspoon pepper', '1/2 teaspoon garlic powder']","['Preheat the oven to 375 °F.', 'Shred the cheese with a grater. Put it in a small bowl for now.', 'Chop the vegetables until you have 1 cup of chopped vegetables.', 'Cook the vegetables until they are cooked, but still crisp.', 'Put the cooked vegetables and shredded cheese into a pie shell.', 'Mix the eggs, milk, salt, pepper, and garlic powder in a bowl.', 'Pour the egg mix over the cheese and vegetables', 'Bake for 30-40 minutes, or until a knife inserted near the center comes out clean.', 'Let the quiche cool for 5 minutes before serving.']",Main,133,104 mg,7 g,9 g,2 g,3 g,8 g,141 mg,1 mg,155 mcg RAE,1 mg,1 mcg,26 mcg DFE
BBQ Chicken Pizza,12 servings,"['6 English muffins', '3/4 cup barbecue sauce', '1 1/2 cups chicken (cooked, cut-up)', '3/4 cup cheddar cheese (shredded, smoked or regular)', '1 bell pepper (chopped)']","['Wash hands and any cooking surface.', 'Heat oven to 450 °F.', 'Slice English muffins in half and place on ungreased, large cookie sheet.', 'Cut up bell pepper.', 'Spread barbecue sauce on English muffins to within ¼ inch of edges. Top with chicken, cheese and bell pepper.', 'Bake 7 to 12 minutes or until cheese is melted.']",Main,143,24 mg,4 g,19 g,2 g,8 g,10 g,135 mg,1 mg,24 mcg RAE,8 mg,0 mcg,18 mcg DFE
Bean and Rice Burritos,8 servings,"['2 cups rice (cooked)', '1 onion (small, chopped)', '2 cups kidney beans (cooked, or one 15 ounce can, drained)', '8 flour tortillas (10 inch)', '1/2 cup salsa', '1/2 cup cheese (shredded)']","['Preheat the oven to 300 °F.', 'Peel the onion, and chop it into small pieces.', 'Drain the liquid from the cooked (or canned) kidney beans.', 'Mix the rice, chopped onion, and beans in a bowl.', 'Put each tortilla on a flat surface.', 'Put 1/2 cup of the rice and bean mix in the middle of each tortilla.', 'Fold the sides of the tortilla to hold the rice and beans.', 'Put each filled tortilla (burrito) in the baking pan.', 'Bake for 15 minutes.', 'While the burritos are baking, grate 1/2 cup cheese.', 'Pour the salsa over the baked burritos. Add cheese.', 'Serve the burritos warm.']",Main,358,7 mg,8 g,58 g,6 g,2 g,13 g,161 mg,4 mg,22 mcg RAE,3 mg,0 mcg,216 mcg DFE
Bean Enchiladas,4 servings,"['4 cups pinto beans (cooked, or 2-15 ounce low sodium cans)', '1/2 cup Monterey Jack cheese (reduced-fat)', '1 tablespoon chili powder', '8 flour tortillas (6 inch)', 'salsa (optional)']","['Place beans in a large bowl and mash coarsely with a fork or potato masher; stir in chili powder.', 'Wrap tortillas in a damp paper towel. Microwave on high for 45 seconds, or until tortillas are soft and warm.', 'Divide bean mixture among tortillas and spread down center of tortilla. Sprinkle cheese on bean mixture.', 'Roll tortillas to enclose mixture.', 'Spray a 9x13 inch baking dish with nonstick cooking spray', 'Place enchiladas, seam side down, into baking dish.', 'Cover with foil and bake at 350 °F for 20 minutes or until heated through.', 'Serve warm with salsa.']",Main,375,8 mg,8 g,59 g,11 g,3 g,17 g,271,5,58 mcg RAE,1 mg,0 mcg,145 mcg DFE
Beef & Noodles,4 Servings,"['3/4 pound ground beef (85% lean)', '1 1/2 cups water (can take up to 2 cups water)', '2 cups egg noodles, uncooked (or any shaped pasta)', '2 servings of Eating Smart Seasoning Mix (1/2 cup)', 'salt (optional)']","['Wash hands with soap and water.', 'Brown 3/4 pound ground beef in a large skillet, drain the fat.', 'Add water, egg noodles or pasta, and seasoning mix. Stir.', 'Bring to a boil, reduce heat to low and simmer covered for 15-20 minutes or until noodles are tender.', 'Taste; then add a small amount of salt, if needed.', 'Refrigerate leftovers.']",Main,258,72 mg,10 g,20 g,1 g,5 g,21 g,114 mg,3 mg,52 mcg RAE,2 mg,1 mcg,88 mcg DFE
Beef & Potatoes,4 Servings,"['1 pound ground beef (90% lean)', '1 1/3 cups water', '7 medium potatoes, peeled and thinly sliced', '3 Servings Eating Smart Seasoning Mix (3/4 cup)', 'salt (to taste, optional)']","['Wash hands with soap and water.', 'Wash and peel the potatoes.', 'Collect, slice, and measure all ingredients before starting to prepare the recipe.  ', 'Brown ground beef in a large skillet. Drain the fat.', 'Add water, potatoes, and seasoning mix. Stir to combine with the beef. ', 'Bring to a boil, reduce heat to low, cover, and simmer for 20-30 minutes or until potatoes are tender.', 'Uncover and cook until excess water is evaporated.', 'Taste; then add a small amount of salt, if needed.', 'Refrigerate leftovers within 2 hours. Eat within 3 to 5 days. ']",Main,514,72 mg,10 g,74 g,9 g,9 g,33 g,198 mg,5 mg,73 mcg RAE,77 mg,1 mcg,78 mcg DFE
Beef and Bean Chile Verde,6 Servings,"['2/3 pound ground beef (90% lean)', '1 bell pepper, large (chopped)', '1 onion, large (chopped)', '6 garlic cloves (chopped)', '1 tablespoon chili powder', '2 teaspoons ground cumin', '1 can diced tomatoes, low-sodium (14.5 ounces)', '1 3/4 cups green salsa (or enchilada sauce, 1-16 ounce jar)', '1 can pinto or kidney beans (rinsed and drained, 15 ounces)']","['Place meat, bell pepper, tomatoes, and onion in large sauce pan. Heat on medium 8-10 minutes, stirring frequently until the meat is browned; drain fat.', 'Add garlic, chili powder and cumin; cook until fragrant (15 seconds).', 'Stir in salsa and bring to a boil.', 'Reduce heat and simmer; cover and cook 10-15 minutes, stirring occasionally.', 'Add beans and cook until heated.']",Main,216,31 mg,6 g,26 g,8 g,6 g,17 g,82 mg,4 mg,37 mcg RAE,40 mg,0 mcg,110 mcg DFE
