name,servings,ingredients,directions,type,calories,cholesterol,fat,carbohydrates,fiber,sugars,protein,calcium,iron,vitamin_a,vitamin_c,vitamin_d,folate
Broccoli Potato Soup,4 servings,"['4 cups broccoli (chopped)', '1 onion (small, chopped)', '4 cups chicken or vegetable broth, low-sodium', '1 cup evaporated milk, non-fat', '1/2 cup mashed potatoes, instant (prepare with water to make 1 cup potatoes; could also use 1 cup leftover mashed potatoes.)', 'salt and pepper (to taste, optional)', '1/4 cup cheddar cheese, shredded (or American)']","['Wash hands.', 'Combine broccoli, onion, and broth in large sauce pan.', 'Bring to a boil.', 'Reduce heat. Cover and simmer about 10 minutes or until vegetables are tender.', 'Add milk to soup. Slowly stir in potatoes.', 'Cook, stirring constantly, until bubbly and thickened.', 'Season with salt and pepper; stir in a little more milk or water if soup starts to become too thick.', 'Ladle into serving bowls.', 'Sprinkle about 1 tablespoon cheese over each serving.']",Soups,194,10 mg,5 g,26 g,3 g,10 g,15 g,307 mg,2 mg,123 mcg RAE,82 mg,1 mcg,69 mcg DFE
Brunswick Stew,8 servings,"['1 tablespoon vegetable oil', '1 onion (medium, chopped)', '2 cups chicken broth, low-sodium', '2 cups chicken or turkey (cooked, diced, and boned)', '2 cups tomatoes, canned or cooked (low sodium)', '2 cups lima beans, canned or cooked', '2 cups whole kernel corn, canned or cooked']","['Wash hands with soap and water.', 'Heat oil in a large pan. Add onion and cook in oil until tender.', 'Add all remaining ingredients. Bring to a simmer for 30 minutes at medium-low.', 'Makes 8 servings of about 1 cup each.']",Soups,180,33 mg,4 g,22 g,5 g,4 g,17 g,36 mg,2 mg,6 mcg RAE,10 mg,0 mcg,67 mcg DFE
Catfish Stew and Rice,4 servings,"['2 potatoes (medium)', '1 can (14.5 oz) tomatoes*, cut up', '1 cup onion (chopped)', '1 cup clam juice (8 oz bottle, or water)', '1 cup water', '2 garlic cloves (minced)', '1/2 head of cabbage (coarsely chopped)', '1 pound catfish fillets', 'green onion (sliced, as needed)', '1 1/2 tablespoons Chili and Spice Seasoning', '2 cups rice, white (or brown, cooked)']","['Wash hands with soap and water.', 'Peel potatoes and cut into quarters.', 'In large pot, combine potatoes, tomatoes and their juice, onion, clam juice, water, and garlic. Bring to boil and reduce heat. Cook covered over medium-low heat for 10 minutes.', 'Add cabbage and return to boil. Reduce heat. Cook covered over medium-low heat for 5 minutes, stirring occasionally.', 'Meanwhile, cut fillets into 2-inch lengths. Coat with Chili and Spice Seasoning.', 'Add fish to vegetables. Reduce heat and simmer covered for 5 minutes or until fish flakes easily with fork.', 'Serve in soup plates. Garnish with sliced green onion, if desired. Serve with scoop of hot cooked rice.']",Soups,340,59 mg,3 g,57 g,9 g,9 g,23 g,133 mg,4 mg,80 mcg RAE,80 mg,0 mcg,168 mcg DFE
Cheese and Corn Chowder,6 servings,"['2 cups potatoes (diced)', '1 cup carrot (sliced)', '1 cup celery (chopped)', '1/2 cup onion (chopped)', '1/4 teaspoon pepper', '1 can cream-style corn', '1 1/2 cups milk, non-fat', '1/2 cup cheddar or American cheese (shredded)']","['Wash hands with soap and water.', 'Combine potatoes, carrots, celery, onion and seasonings in pan. Add 1 cup water. Cover and simmer 10 minutes.', 'Add corn and pepper. Cook 5 more minutes or until vegetables are cooked.', 'Add milk and cheese. Stir until cheese melts and chowder is heated through. Do not boil.', 'Serve hot.']",Soups,164,11 mg,4 g,28 g,3 g,8 g,7 g,168 mg,1 mg,247 mcg RAE,16 mg,1 mcg,57 mcg DFE
Chicken and Dumpling Soup,8 servings,[],"['Heat oil in Dutch oven or soup kettle over medium-high heat.', 'Sauté carrot, onion and celery for 5 minutes; stir in broth, chicken, peppercorns, thyme, and bay leaves.', 'Reduce heat to low; simmer, partially covered for 20 minutes.', 'Meanwhile, in small bowl, mix dumpling ingredients until well blended.', 'Drop small spoonsful of dumpling dough into simmering soup.', 'Cover soup and allow dumplings to cook for about 20 minutes (they will rise to the top of the soup as they cook).', 'Stir in spinach.', 'Remove bay leaves before serving soup.']",Soups,243,54 mg,6 g,30 g,4 g,4 g,18 g,73 mg,2 mg,332 mcg RAE,6 mg,0 mcg,70 mcg DFE
Chicken Noodle Soup,6 servings,"['3 pounds chicken pieces (skin removed)', '1/2 teaspoon salt', '1/4 teaspoon black pepper', '1 onion (chopped)', '1 cup celery (washed and chopped)', '3 carrots (large, scrubbed, thinly sliced)', '4 cups noodles, dry', 'thyme or sage (optional)']","['Wash hands with soap and water.', 'Thaw frozen chicken in refrigerator (about 24 hours), or thaw in microwave just before cooking soup.', 'Place chicken pieces in large kettle. Cover completely with water. Cover, bring to boil, reduce heat, and simmer 2 to 3 hours.', 'With soap and water, carefully wash your hands and any counter surfaces and equipment that came in contact with raw chicken.', 'Remove cooked chicken pieces from broth with tongs or slotted spoon. Cool 10 to 15 minutes before separating bones from meat. Break meat into bite-sized pieces. Remove any bones from broth.', 'Remove fat from broth by skimming with spoon, adding and removing ice cubes, or blotting top of broth with paper towels.', 'Put chicken meat, seasonings and vegetables into stock.', 'Bring broth to a boil, cover, reduce heat and cook about 15 to 20 minutes on medium heat until sliced carrots are crispy-tender.', 'Add noodles and boil uncovered for about 6 to 7 minutes, stirring occasionally to break up any noodles that might stick together. (One cup of dry noodles [1 1/2 ounce] makes one cup of cooked noodles).', 'Ladle into soup bowls.', 'Refrigerate or freeze leftovers within 2 hours of cooking. If refrigerated, use within 2 days. When reheating, bring to a boil.']",Soups,276,109 mg,5 g,24 g,3 g,3 g,32 g,46 mg,3 mg,326 mcg RAE,4 mg,0 mcg,127 mcg DFE
Chicken Noodle Soup,6 Servings,"['1 pound chicken breasts, thawed, skin and bone removed from each piece', '6 cups water', '1/2 teaspoon salt', '1/4 teaspoon black pepper']","['Cut up chicken breasts and place in a large pot with enough water to cover. Add salt and pepper.', 'Bring chicken and water to a boil. Reduce to medium heat and continue to cook for about 20 minutes.', 'Set aside 1/4 cup (about 1 ladle full) of the broth in a large bowl to cool down.', 'To make the noodles, combine egg mix and flour in a medium-size bowl. While mixing the egg and flour, slowly add the 1/4 cup cooled broth until a dough is formed.', 'Roll the dough on a clean, dry, floured surface. Add more flour as needed to keep it from sticking.', 'Cut dough into 1/2 inch wide strips that are about 6 inches long.', 'Gently put the strips into the pot with the chicken. Stir every 5 minutes.', 'Cook until done (about 15 to 20 minutes over medium heat).', 'Be careful! Pot may boil over if lid is fully closed.']",Soups,287,149 mg,5 g,34 g,1 g,0 g,25 g,32 mg,3 mg,10 mcg RAE,,17 mcg,131 mcg DFE
Chicken Posole,6 Servings,"['1 onion, chopped', '3 large carrots, chopped', '3 celery stalks, chopped', '1/2 tablespoon garlic, finely chopped', '2 tablespoons vegetable oil', '2 1/2 cups hominy (2 - 15 ounce cans)', '1 can chicken (about 12 ounces)', '4 cups water', '1 teaspoon cayenne or jalapeño chilies, seeds removed and finely chopped (optional)', '1/2 teaspoon chili powder (optional)', '1/2 teaspoon oregano (optional)', '1/2 teaspoon salt', '1/4 teaspoon pepper']","['In a medium-sized pot, brown onion, carrots, celery, and garlic in vegetable oil over medium heat for 10 minutes.', 'Add hominy, chicken, and water. If using cayenne pepper, jalapeño chilies, chili powder, or oregano, add that, too. Mix well.', 'Bring pot to a boil. Lower heat and cook for about 10 minutes.', 'Add salt and pepper. Serve hot.']",Soups,224,38 mg,9 g,22 g,5 g,3 g,15 g,42 mg,1 mg,333 mcg RAE,5 mg,0 mcg,15 mcg DFE
Chicken Pozole Soup,6 servings,"['1 chicken (whole, skinned and cut into pieces)', '8 cups water', '1/2 cup onion (chopped)', '1/4 teaspoon pepper', '4 tablespoons chili powder', '1 can tomato sauce (8 ounce)', '1/2 teaspoon oregano (dried)', '2 cups canned hominy, white or yellow (2 - 15 ounce can, rinsed and drained)', '3 cups iceberg lettuce (shredded)', '6 lime wedges']","['Wash hands with soap and water.', 'Put chicken pieces in a large pot and cover with the 8 cups of water. Simmer over medium heat for 1 hour.', 'Add the chopped onion, pepper, chili powder, tomato sauce, and oregano to simmering chicken.', 'After the chicken is thoroughly cooked take the pieces out of the pot and remove most of the bones from the chicken and the pot.', 'Return chicken to the pot.', 'Add the rinsed hominy to the pot of chicken and simmer for another 45 minutes.', 'Serve with lettuce and a wedge of lime.']",Soups,427,95 mg,29 g,16 g,5 g,5 g,26 g,68 mg,3 mg,167 mcg RAE,5 mg,0 mcg,26 mcg DFE
Chicken Soup,8 servings,"['6 cups chicken broth (low-sodium)', '1 cup chicken (cooked)', '1 cup rice (uncooked)', '1 3/4 cups vegetables (fresh chopped, such as potatoes, carrots, celery, or cabbage)', '1/2 teaspoon garlic powder', '1/4 teaspoon pepper', '1/4 teaspoon salt', '1 tablespoon parsley (dried)']","['Wash hands with soap and water.', 'Use leftover cooked chicken, or cook enough chicken to make 1 cup of chicken pieces.', 'Place the cooked chicken in a large saucepan.', 'Add the broth and uncooked rice. Cover the pan.', 'Bring the broth and rice to a boil.', 'Cover the pan, and turn the heat to low.', 'Stir and simmer for 15 minutes.', 'Add the chopped onions, chopped vegetables, and seasonings.', 'Simmer for 10 to 15 minutes until the vegetables are tender.']",Soups,170,16 mg,2 g,27 g,2 g,2 g,12 g,28 mg,2 mg,86 mcg RAE,2 mg,0 mcg,74 mcg DFE
Chicken Soup with Chiles,6 servings,"['3 pounds chicken pieces, skin removed', '2 cups tomatoes (chopped)', '1 garlic clove (minced)', '1/2 cup onion (chopped)', '1/4 cup mild chiles (canned and diced)', '2 cups pinto or garbanzo beans, canned, drained or cooked and drained', 'salt and pepper (to taste, optional)']","['Wash hands with soap and water.', 'Place chicken pieces in a large saucepan and add enough water to cover.', 'Cook until tender, about 25 minutes.', 'Remove chicken pieces from the broth.', 'Add tomatoes, garlic, onion, and chiles.', 'Remove chicken meat from the bones and return meat to broth.', 'Add beans and salt and pepper to taste. Simmer for about 15 minutes.']",Soups,374,141 mg,6 g,19 g,6 g,3 g,57 g,65 mg,3 mg,36 mcg RAE,13 mg,0 mcg,122 mcg DFE
Chicken Stew,8 servings,"['8 chicken pieces (breasts or legs)', '1 cup water', '2 garlic cloves (small, minced)', '1 onion (medium, chopped)', '1 1/2 teaspoons salt', '1/2 teaspoon pepper', '3 tomatoes (medium, chopped)', '1/3 tablespoon parsley (1 teaspoon, chopped)', '1/4 cup celery (finely chopped)', '2 potatoes (medium, peeled and chopped)', '2 carrots (medium, chopped)', '2 bay leaves']","['Wash hands with soap and water.', 'Remove the skin from the chicken and any extra fat. In a large skillet combine chicken, water, garlic, onion, salt, pepper, tomatoes, and parsley. Tightly cover and cook over low heat for 25 minutes.', 'Add celery, potatoes, carrots, and bay leaves and continue to cook for 15 minutes or until chicken and vegetables are tender. Remove bay leaves before serving.']",Soups,227,84 mg,4 g,14 g,3 g,3 g,33 g,39 mg,2 mg,154 mcg RAE,19 mg,0 mcg,26 mcg DFE
Chicken Vegetable Soup with Kale,3 servings,"['2 teaspoons vegetable oil', '1/2 cup onion (chopped)', '1/2 cup carrots (chopped)', '1 teaspoon thyme (ground)', '2 garlic cloves (minced)', '2 cups water (or chicken broth)', '3/4 cup tomatoes (diced)', '1 cup chicken, cooked, skinned and cubed', '1/2 cup brown rice, cooked (or white rice)', '1 cup kale (chopped, about one large leaf)']","['Wash hands with soap and water.', 'Heat oil in a medium sauce pan. Add onion and carrots. Sauté until vegetables are tender, about 5 to 8 minutes.', 'Add thyme and garlic. Sauté for one more minute.', 'Add water or broth, tomatoes, cooked rice, chicken, and kale.', 'Simmer for 5 to 10 minutes.']",Soups,177,44 mg,5 g,17 g,3 g,3 g,16 g,72 mg,1 mg,313 mcg RAE,37 mg,0 mcg,28 mcg DFE
Chilled Blueberry Soup,4 Servings,"['2 cups fresh blueberries (2 6-oz containers)', '1 cup 100% apple juice', '1 1/2 cups plain low-fat yogurt', '1 teaspoon cinnamon', 'Fresh mint leaves for garnish']","['Rinse blueberries and set aside a few for garnishing.', 'Blend all ingredients in food processor or blender.', 'Serve immediately.', 'Garnish with mint leaves and blueberries, if desired.']",Soups,140,5 mg,2 g,28 g,2 g,24 g,5 g,180 mg,0 mg,15 mcg RAE,14 mg,0 mcg,15 mcg DFE
Chilled Cantaloupe Soup,6 servings,"['1 cantaloupe (peeled, seeded, and cubed)', '2 cups orange juice', '1 tablespoon lime juice (fresh)', '1/4 teaspoon cinnamon (ground)']","['Wash hands with soap and water.', 'Place cantaloupe and 1/2 cup orange juice in a container of a blender or food processor.', 'Cover with lid and blend until smooth. Transfer to large bowl.', 'Stir in lime juice, cinnamon, and remaining orange juice.', 'Cover, and refrigerate for at least one hour.', 'Serve chilled.']",Soups,69,0 mg,0 g,16 g,1 g,14 g,1 g,19 mg,0 mg,164 mcg RAE,76 mg,0 mcg,44 mcg DFE
Corn Soup,6 Servings,"['1/2 pound ground beef', '2 cups water', '1 can low-sodium whole kernel corn (about 15 ounces)', '2 cans low-sodium cream style corn (about 30 ounces)', '1 cup onions, diced', '1 tablespoon garlic, finely chopped', '1 tablespoon chili powder', '1/2 teaspoon salt', '1/2 teaspoon black pepper']","['In a large pot, brown ground beef over medium to high heat for 8 to 10 minutes. Drain off fat.', 'Add water, corn kernels, cream style corn, onion, garlic, chili powder, salt, and pepper to pot. Mix well.', 'Cook over low heat for about 15 minutes. Serve hot.']",Soups,252,26 mg,7 g,41 g,5 g,7 g,11 g,29 mg,2 mg,35 mcg RAE,13 mg,0 mcg,85 mcg DFE
Cream of Broccoli Soup,4 servings,"['1 1/2 cups chicken broth', '1/2 cup onion (chopped)', '2 cups broccoli (cut)', '1/2 teaspoon thyme (dried, crushed)', '2 bay leaves (small)', '2 tablespoons vegetable oil', '2 tablespoons flour', '1/4 teaspoon salt', 'pepper (dash, optional)', '1 cup non-fat milk', 'garlic powder (dash, optional)']","['Wash hands with soap and water.', 'In a saucepan combine chicken broth, chopped onion, broccoli, thyme, bay leaf and garlic powder. Bring mixture to boiling. Reduce heat; cover and simmer for 10 minutes or until vegetables are tender. Remove bay leaf.', 'Place half of the mixture in a blender or food processor, cover and blend 30 to 60 seconds or until smooth. Pour into a bowl; repeat with remaining vegetable mixture, set all aside.', 'In the same saucepan warm the oil. Stir in flour, salt, and pepper. Add the milk all at once, stirring rapidly with a wire whisk. Cook and stir until mixture is thickened and bubbly. Stir in the blended broccoli mixture. Cook and stir until soup is heated through. Season to taste with additional salt and pepper.']",Soups,123,1 mg,7 g,11 g,2 g,5 g,4 g,109 mg,1 mg,52 mcg RAE,47 mg,1 mcg,46 mcg DFE
Cream of Broccoli Soup II,4 Servings,"['1 package frozen, chopped broccoli (10 ounces)', '1 can carrots or mixed vegetables, drained', '1 can cream of mushroom soup (10 ounces)', '1 1/4 cups 1% low fat milk', '1/3 cup grated cheddar cheese, low-fat (can use 1/4 to 1/2 cup)']","['Wash hands with soap and water.', 'In saucepan, prepare broccoli according to directions. Drain off water.', 'Add carrots, cream of mushroom soup, and one soup can full of milk to the broccoli. Stir over low heat until steaming hot and vegetables are cooked. Add cheese, stirring until melted.', 'Serve hot.', 'Refrigerate leftovers.']",Soups,178,12 mg,7 g,19 g,4 g,7 g,10 g,240 mg,1 mg,493 mcg RAE,28 mg,1 mcg,50 mcg DFE
Crock Pot Vegetable Lentil Stew,8 Servings,"['2 tablespoons olive oil', '2 bay leaves', 'salt (optional 2 teaspoons)', '1 large onion, sliced', '3 cloves garlic, minced', '1 cup carrot, chopped', '2 cups kale, chopped', '2 cups chard, chopped', '2 cups dried lentils', '8 cups vegetable broth, low-sodium (or stock)', '1 can chopped tomatoes, low-sodium (16 ounces)']","['Wash hands with soap and water.', 'Sauté onion and garlic with olive oil.', 'Combine sauté mix with the rest of the ingredients in a crock pot.', 'Cook on low for 8 hours or high for 4 hours.', 'Spoon stew into bowls to serve and top with a dollop of fat-free or low-fat plain yogurt (optional).']",Soups,235,0 mg,4 g,38 g,12 g,8 g,14 g,83 mg,6 mg,,31 mg,,
Curried Squash Stew,4 Servings,"['1 tablespoon vegetable oil', '1 yellow onion (peeled and chopped)', '2 cloves garlic (peeled and minced)', '1 celery stalk (including leaves, chopped)', '1/2 teaspoon ground cinnamon', '1 large zucchini (or 2 small)', '2 tablespoons curry powder', '3 cups butternut squash', '1 can (14.5 ounce) low-sodium diced tomatoes (including liquid)', '1 can (15.5 ounce) low-sodium white beans or chickpeas (drained and rinsed)']","['Heat a large pot on the stove over medium heat and add oil. Add the onion, garlic and celery and cook about 10 minutes, until the onion is tender.', 'Add zucchini and curry powder and cook for 10 minutes, stirring occasionally.', 'Add the butternut squash, tomatoes and chickpeas and cover. Continue cooking about 10 minutes.', 'Serve with cooked brown rice.']",Soups,234,0 mg,6 g,41 g,9 g,10 g,9 g,134 mg,4 mg,283 mcg RAE,20 mg,0 mcg,75 mcg DFE
Delicious Lentil Stew,8 servings,"['2 tablespoons butter (or margarine)', '1 cup onion (chopped)', '6 cups water', '2 cups lentils (dry, washed, soaking not necessary)', '1 teaspoon Worcestershire sauce', '1/2 teaspoon oregano', '1/4 teaspoon garlic powder', '6 carrots (large, cut into 1/2-inch pieces)', '8 celery stalks', '1 teaspoon salt', '1 can whole tomatoes (16 ounce, cut into pieces or 3-4 fresh tomatoes cut in wedges)']","['Melt butter in a large skillet.', 'Sauté onion until tender.', 'Add water, lentils, Worcestershire sauce, oregano, and garlic powder.', 'Cover, bring to a boil. Reduce heat, and simmer for 45 minutes.', 'Add carrots, celery, and salt.', 'Cover and simmer 30 minutes more or until the vegetables are tender.', 'Add tomatoes. Heat thoroughly and serve.']",Soups,221,8 mg,4 g,36 g,14 g,7 g,13 g,77 mg,5 package,420 mcg RAE,13 mg,0 mcg,267 mcg DFE
Easy and Healthy Black Bean Soup,4 Servings,"['2 cans black beans, low-sodium canned (15.5 ounces, drained and rinsed)', '2 cups chicken broth, low sodium (can use vegetable broth instead)', '1/2 recipe fresh salsa ((1/2 of the recipe = 1 cup))', '1 teaspoon cumin (ground)', '4 tablespoons sour cream, low-fat (can use fat-free)', '2 tablespoons fresh cilantro, chopped']","['Lightly purée one can of black beans with broth, salsa, and cumin in a blender.', 'In a medium saucepan, combine puréed bean mixture with remaining beans and heat through.', 'To serve, ladle soup into 4 bowls.', 'Top each bowl with one tablespoon of sour cream and garnish with the cilantro.']",Soups,244,5 mg,3 g,40 g,15 g,1 g,16 g,109 mg,5 mg,19 mcg RAE,10 mg,0 mcg,138 mcg DFE
