name,servings,ingredients,directions,type,calories,cholesterol,fat,carbohydrates,fiber,sugars,protein,calcium,iron,vitamin_a,vitamin_c,vitamin_d,folate
Cinnamon Sugared Pumpkin Pecan Muffins,12 Servings,"['8 tablespoons sugar (divided)', '2 teaspoons cinnamon (divided)', '1 cup bran flakes', '1 cup skim milk', '1 cup flour', '1 tablespoon baking powder', '1/2 teaspoon baking soda', '1 cup canned pumpkin', '1 egg', '1 tablespoon vanilla', '1/4 cup finely chopped pecans']","['Wash hands with soap and water.', 'Preheat oven to 400 °F. Spray 12 muffin cups with cooking spray.', 'Combine 2 tablespoons sugar and 1/2 teaspoon cinnamon in a small bowl; set aside.', 'In a large bowl, combine cereal and milk and set aside for 5 minutes.', 'Combine 6 tablespoons sugar, 1 1/2 teaspoons cinnamon, flour, baking powder, and baking soda in a bowl. Whisk pumpkin, egg, and vanilla into cereal.', 'Fold in dry mixture; being careful not to over mix. Spoon into prepared pan and sprinkle with pecans and sugar-cinnamon mixture.', 'Bake for 20 to 25 minutes or until a toothpick comes out clean.']",Breads,125,16 mg,2 g,23 g,2 g,11 g,3 g,109 mg,1 mg,177 mcg RAE,1 mg,0 mcg,38 mcg DFE
Corn Bread,12 servings,"['1 cup cornmeal', '1 cup flour (all purpose)', '2 tablespoons sugar', '1 tablespoon baking powder', '1 egg', '1/4 cup vegetable oil', '1 cup milk, non-fat']","['Wash hands with soap and water.', 'Heat oven to 425 °F. Grease 8x9 inch pan.', 'Measure cornmeal, flour, sugar, and baking powder into a large mixing bowl. Stir to combine ingredients.', 'Crack egg into a small bowl and beat with a fork to combine white and yolk.', 'Add egg, oil, and milk to flour mixture. Mix until ingredients are well blended.', 'Pour batter into prepared pan.', 'Bake 20 to 25 minutes, until firm to touch or wooden pick inserted in the center comes out clean.']",Breads,137,16 mg,5 g,19 g,1 g,3 g,3 g,97 mg,1 mg,20 mcg RAE,0 mg,0 mcg,36 mcg DFE
Corn Toasties,18 servings,"['2 cups cornmeal', '1 cup all-purpose flour (sifted)', '2 tablespoons sugar', '1 1/2 tablespoons baking powder', '1/4 teaspoon salt', '1/2 teaspoon baking soda', '3/4 cup buttermilk (made from 2 teaspoons vinegar + 3/4 cup milk, made from non-fat dry milk powder)', '1/4 cup egg mix (dry, mixed with 1/4 cup water)', '2 tablespoons vegetable oil']","['Wash hands with soap and water.', 'In a large bowl, combine cornmeal, flour, sugar, baking powder, salt, and baking soda.', 'In another bowl, combine buttermilk, egg mix, and vegetable oil. Beat until well blended.', 'Add buttermilk mixture all at once to dry ingredients. Stir until well mixed.', 'Turn mixture onto a lightly floured board and knead only 10 times.', 'Roll out to a thickness of 1/4 inch and cut with a 3/4-inch-round cutter.', 'Cook on a warm ungreased griddle or frying pan for about 10 minutes on each side.']",Breads,112,21 mg,3 g,18 g,1 g,2 g,3 g,85 mg,1 mg,9 mcg RAE,,6 mcg,27 mcg DFE
Corn Tortillas,12 servings,"['2 cups masa harina (instant)', '1/4 teaspoon salt', '2 tablespoons unsalted butter (at room temperature)', '1 1/2 cups water (warm)']","['Wash hands with soap and water.', 'Measure the masa harina and salt into a large bowl. Cut the butter into tablespoon-sized pieces and work it into the dry ingredients using the back of a wooden spoon. Add the water and mix with a wooden spoon or with your hands until a soft dough forms. Cover the dough with a clean cloth and let rest for 5 minutes.', 'Divide the dough into 12 pieces and roll each piece into a ball.', 'To keep the dough from sticking to the tortilla press, put a piece of plastic wrap (or a plastic bag) on the bottom surface of the press. Put a ball of dough in the center of the plastic. Then place another piece of plastic wrap on the top of the dough. Press the dough flat in the press.', 'Pick up the tortilla with the plastic on both sides. Peel off one piece of plastic (which can be reused). Flip the tortilla off of the plastic onto a hot griddle. Cook for 1 to 2 minutes, until the bottom of the tortilla becomes golden. Flip the tortilla and press lightly with a spatula, which will make the tortilla puff slightly. Cook for one to two minutes more, until the tortilla appears to be done.']",Breads,56,5 mg,2 g,8 g,1 g,0 g,1 g,19 mg,0 mg,16 mcg RAE,0 mg,0 mcg,14 mcg DFE
Cornmeal Pancakes,20 servings,"['2 cups cornmeal', '1 teaspoon baking powder', '1/2 teaspoon baking soda', '1 teaspoon salt', '1 teaspoon sugar', '2 tablespoons butter (or margarine)', '1 cup evaporated milk', '1 tablespoon vinegar', '1 egg']","['Wash hands with soap and water.', 'Measure, place in a bowl and mix cornmeal, baking powder, salt, and sugar.', 'Measure fat (butter or margarine), and add to cornmeal mixture. Bring water to a boil. Measure 1 3/4 cups boiling water, and add to cornmeal mixture. Beat until well mixed.', 'Measure evaporated milk, and pour into a small bowl. Measure vinegar, and stir into evaporated milk. Stir milk and vinegar mixture into cornmeal mixture. Beat to mix well. Beat in egg. Makes batter for 20 medium-sized pancakes.', 'Heat griddle or fry pan. (If electric fry pan is used, preheat it to 380 °F.) Pan is ""hot"" when a drop of water ""dances."" Grease pan lightly.', 'Pour batter onto griddle or fry pan. Use about 3 tablespoons batter for each pancake. A 1/4 cup measure is handy to use for pouring. Stir the batter up from the bottom now and then to keep it well mixed. Cook until top is covered with bubbles and the bottom is brown. Loosen edges of each pancake all around. Turn pancakes over and brown other side.']",Breads,76,16 mg,3 g,11 g,1 g,2 g,2 g,49 mg,1 mg,23 mcg RAE,0 mg,0 mcg,5 mcg DFE
Cranberry Nut Bread,15 Servings,"['2 cups flour*', '2/3 cup sugar', '1 1/2 teaspoons baking powder', '1 1/2 teaspoons baking soda', '2 teaspoons grated orange peel', '3/4 cup orange juice', '4 tablespoons butter, melted (or margarine) (1/4 cup)', '1 egg (or 2 egg whites) (medium)', '1 cup chopped cranberries', '1/3 cup chopped walnuts', '1/3 powdered sugar, optional (1/3 cup, for glaze)', '1 water, optional (1 teaspoon, for glaze)']","['Wash hands with soap and water.', 'Preheat oven to 350 °F. Mix flour, sugar, baking powder and baking soda in a large bowl.', 'Grate orange peeling, then squeeze juice from orange. Add additional orange juice to make 3/4 cup.', 'In a separate bowl, blend orange juice, butter, egg, and grated orange peel; add to flour mixture, stirring until just blended. Mix in cranberries and walnuts.', 'Pour batter into a 9x5 inch loaf pan, greased on bottom only.', 'Bake for 50 to 60 minutes or until a toothpick inserted in the center comes out clean. Cool in pan for 10 minutes; remove and cool completely on wire rack.', 'Optional: to make glaze, mix powdered sugar and water; add water as needed to make thin glaze. Drizzle over cooled loaf.']",Breads,163,19 mg,5 g,27 g,1 g,13 g,3 g,37 mg,1 mg,32 mcg RAE,8 mg,0 mcg,56 mcg DFE
Cranberry Pumpkin Muffins,12 servings,"['2 cups flour', '3/4 cup sugar', '3 teaspoons baking powder', '1/2 teaspoon salt', '1/2 teaspoon cinnamon', '3/4 teaspoon allspice', '1/3 cup vegetable oil', '2 eggs (large)', '3/4 cup pumpkin (canned)', '2 cups cranberries (fresh or frozen chopped)']","['Wash hands with soap and water.', 'Preheat oven to 400 °F.', 'Sift together dry ingredients (flour through allspice) and set aside.', 'Beat oil, eggs, and pumpkin together until well blended.', 'Add the wet ingredients (pumpkin mixture) to the dry ingredients all at once. Stir until moistened.', 'Fold in chopped cranberries.', 'Spoon into paper lined muffin cups.']",Breads,203,31 mg,7 g,32 g,2 g,14 g,3 g,83 mg,2 mg,133 mcg RAE,3 mg,0 mcg,66 mcg DFE
Drop Biscuits (from Better Baking Mix),10 Biscuits,"['2 Servings of Better Baking Mix (2 cups)', '1/4 cup vegetable oil', '1/4 cup water']","['Wash hands with soap and water.', 'Preheat oven to 400 °F. Lightly grease baking sheet.', 'Add oil and water to the dry mix. Stir just until all ingredients are wet.', 'Drop spoonsful 4 inches apart on baking sheet.', 'Bake 10 to 12 minutes until lightly browned.']",Breads,123,0 mg,6 g,14 g,1 g,1 g,3 g,54 mg,1 mg,14 mcg RAE,0 mg,0 mcg,36 mcg DFE
Fabulous Fruit Muffins,9 servings,"['1 1/4 cups flour', '1/4 cup sugar', '1 teaspoon baking powder', '1/2 teaspoon baking soda', '3/4 cup buttermilk, low-fat', '2 tablespoons margarine (melted)', '1 egg (slightly beaten)', '1/2 teaspoon vanilla extract', '1 cup frozen strawberries (coarsely chopped, or other fruit, fresh or frozen)']","['Wash your hands and work area.', 'Heat oven to 400 °F. Spray muffin tin with non-stick cooking spray.', 'In a large bowl, combine the flour, sugar, baking powder, and baking soda. Stir well until all ingredients are blended.', 'In another bowl, combine buttermilk, margarine, egg, and vanilla. Pour this mixture into the dry ingredients (made in step #3).', 'Using a large spoon, gently stir ingredients just until moist (do not over-mix). Add fruit and stir gently (do not over-mix).', 'Spoon batter evenly into 9 muffin cups.', 'Bake 20 to 25 minutes or until golden brown.', 'Serve hot or cold. Muffins may be frozen for later use.']",Breads,133,21 mg,3 g,22 g,1 g,8 g,3 g,64 mg,1 mg,38 mcg RAE,10 mg,0 mcg,58 mcg DFE
Feather Rolls,30 Servings,"['4 cups flour, whole wheat', '3/4 cup flour, all-purpose', '1 1/4 tablespoons yeast, dry active', '1 cup non-fat dry milk powder', '1 1/2 cups warm water', '1/3 cup oil', '3 tablespoons sugar (or honey)', '2 eggs, large (or 4 egg whites)', '1 teaspoon salt']","['Mix 2 1/2 cups whole wheat flour, dry yeast, and non-fat dry milk in large mixer bowl. Add water, oil, and sugar (or honey). Mix well 1 to 2 minutes.', 'Turn off mixer, cover, and let dough sit for 10 minutes.', 'Add eggs and salt. Turn on mixer. Add remaining flour, 1 cup at a time, until dough begins to form a ball.', 'Knead for 5 to 6 minutes. Dough should be very soft and manageable. Stiff dough produces heavy, dry rolls. If dough stiffens while mixing, drizzle a little warm water over dough as it kneads.', 'Dough may be used immediately or covered and stored in the refrigerator for several days.', 'Lightly oil hands and counter top if needed. Shape immediately into rolls. Let rise until very light.', 'Bake at 350 °F for 18 to 20 minutes. Do not overbake.']",Breads,103,13 mg,3 g,16 g,2 g,2 g,3 g,22 mg,1 mg,13 mcg RAE,0 mg,0 mcg,30 mcg DFE
Flour Tortillas,10 servings,"['2 cups flour (all-purpose, or 1 1/2 cup all purpose flour and 1/2 cup whole wheat flour)', '1 teaspoon baking powder', '1/2 teaspoon salt', '2 tablespoons vegetable oil (or shortening)', '1/2 cup water (warm, 105 to 110 °F)']","['In a large bowl, combine flour, baking powder, and salt.', 'Add oil and mix until crumbly.', 'Start with 1/2 cup of water and add 1 tablespoon at a time until mixture forms a loose crumbly ball.', 'Turn onto a lightly floured surface; knead 6 to 8 times or until smooth.', 'Divide into 10 balls. Roll each piece into an 8 inch circle.', 'Heat a 12 inch dry skillet over medium-high heat. Place one tortilla at a time into skillet and cook until light brown spots appear on bottom. Turn over and cook on other side until lightly browned.']",Breads,115,0 mg,3 g,19 g,1 g,0 g,3 g,31 mg,1 mg,0 mcg RAE,0 mg,0 mcg,73 mcg DFE
Garden Pan Bread,4 Servings,"['1/2 cup cornmeal', '1/2 cup all-purpose flour', '1 teaspoon baking powder', '1/4 teaspoon salt', '2 ripe bananas, mashed', '1/2 cup water', '1 tablespoon egg mix (or 1 egg)', '1/4 cup raisins', '1/4 cup walnuts, chopped', 'nonstick cooking spray']","['Preheat oven to 350 °F.', 'In a medium-sized bowl, combine cornmeal, flour, baking powder, and salt. Set aside.', 'In a small bowl, combine bananas, water, and egg mix. Stir until mixed well.', 'Stir banana mixture into cornmeal mixture. Mix until dry ingredients are moistened. Gently stir in raisins and walnuts.', 'Lightly spray medium-sized skillet or baking pan with nonstick cooking spray.', 'Spoon batter into skillet or baking pan.', 'Bake for 18 to 20 minutes or until bead is golden brown and pulls away from the edges. A wooden toothpick or clean fork inserted into the center of the bread should come out clean.', 'Cut into four equal slices and serve hot or cold.']",Breads,268,39 mg,7 g,48 g,4 g,13 g,7 g,90 mg,2 mg,6 mcg RAE,,6 mcg,72 mcg DFE
Ginger Bread Mix,10 servings,"['8 cups flour (white)', '1 1/2 cups sugar', '1 tablespoon baking soda', '3 tablespoons ginger (dried, ground)', '3 tablespoons cinnamon (dried, ground)', '1 teaspoon cloves (dried, ground)', '1 teaspoon salt']","['Combine all ingredients in a large bowl. Mix well.', 'Store mix in a covered jar until ready to use.']",Breads,492,0 mg,1 g,109 g,4 g,30 g,11 g,42 mg,5 mg,0 mcg RAE,0 mg,0 mcg,291 mcg DFE
Ginger Orange Muffins,12 servings,"['2 Servings Ginger Bread Mix (2 cups)', '1 cup bran cereal', '1 egg (slightly beaten)', '1/2 cup milk, 1%', '1/4 cup orange juice concentrate', '1/4 cup molasses', '1/4 cup vegetable oil', '1 teaspoon orange peel (grated)', '1/4 raisins (optional)']","['Preheat oven to 350 °F.', 'Combine the Ginger Bread Mix and bran cereal in a bowl.', 'Beat the egg slightly in another bowl.', 'Add the egg and other ingredients to the gingerbread and cereal mixture.', 'Stir only until combined. Let stand for 15 minutes.', 'Fill 12 muffin cups (well-greased pans or paper liners) 2/3 full.', 'Bake 15 to 20 minutes or until done in the center.']",Breads,178,16 mg,5 g,30 g,1 g,14 g,3 g,40 mg,2 mg,13 mcg RAE,2 mg,0 mcg,55 mcg DFE
Homemade Pizza Crust,4 Servings,"['1 teaspoon rapid rise yeast', '1/2 cup lukewarm water', '1/4 teaspoon salt', '1 teaspoon oil', '1 cup bread flour (approximately)']","['Wash hands with soap and water.', 'Mix yeast, water, salt, and oil. Add about 1 cup flour to make a stiff dough. The amount of flour may vary slightly.', 'Knead the dough until it is very elastic (will stretch and not make a hole).', 'Use a rolling pin or clean bottle to obtain even thickness.', 'Lay it on a greased baking sheet to rise while you prepare toppings for pizza.', 'Bake at 400°F with desired toppings until crust is browned and top is bubbly.']",Breads,137,0 mg,2 g,25 g,1 g,0 g,5 g,6 mg,2 mg,0 mcg RAE,0 mg,0 mcg,122 mcg DFE
Homestyle Biscuits,15 servings,"['2 cups flour (all purpose)', '2 teaspoons baking powder', '1/4 teaspoon baking soda', '1/4 teaspoon salt', '2 tablespoons sugar', '2/3 cup buttermilk (low-fat)', '3 tablespoons vegetable oil (+ 1 teaspoon vegetable oil)']","['Wash hands with soap and water.', 'Preheat oven to 450 °F.', 'In medium bowl, combine flour, baking powder, baking soda, salt, and sugar.', 'In small bowl, stir together buttermilk and oil. Pour over flour mixture and stir until well mixed.', 'On lightly floured surface, knead dough gently for 10-12 strokes. Roll or pat dough to ¾-inch thickness. Cut with a 2-inch round biscuit or cookie cutter, dipping cookie cutter in flour between cuts. Transfer biscuits to an ungreased baking sheet.', 'Bake for 12 minutes or until golden brown. Serve warm.']",Breads,96,0 mg,3 g,15 g,0 g,2 g,2 g,51 mg,1 mg,2 mcg RAE,0 mg,0 mcg,49 mcg DFE
Lemon Corn Cake,12 servings,"['1 cup yellow corn meal', '1 cup flour', '1/2 cup sugar', '1 tablespoon baking powder', '1 teaspoon salt', '3/4 cup yogurt, low-fat lemon (about 6 oz)', '2 teaspoons lemon peel (finely grated)', '1 tablespoon oil', '1 egg yolk', '2/3 cup non-fat milk', '3 egg whites', 'non-stick cooking spray', '3 tablespoons lemon juice', '1/2 cup powdered sugar']","['1. Preheat oven to 400 degrees.\n2. Mix first five ingredients together in mixing bowl.\n3. Combine yogurt, lemon peel, oil, egg yolk and milk together and stir into dry ingredients just until blended.\n4. Whip egg whites with mixer until stiff. Fold into corn meal mixture.\n5. Pour into round 9-inch cake pan coated with nonstick cooking spray.\n6. Bake for 20-25 minutes or until corn cake tests done.\n7. For optional lemon glaze: Over low heat blend lemon juice together with powdered sugar. Pierce cake top repeatedly with fork. Slowly pour glaze evenly over the top.\n ']",Breads,164,19 mg,2 g,33 g,1 g,16 g,4 g,116 mg,1 mg,17 mcg RAE,1 mg,0 mcg,38 mcg DFE
Lo's Blueberry Coffee Cake,8 servings,"['1 egg', '1/2 cup non-fat milk', '1/2 cup yogurt, non-fat vanilla', '3 tablespoons canola oil', '1/4 teaspoon cinnamon', '2 teaspoons lemon peel (grated, yellow only)', '2 cups flour, all purpose', '1/2 cup sugar', '4 teaspoons baking powder', '1/2 teaspoon salt', '1 1/2 cups fresh (or frozen unsweetened) blueberries']","['Wash hands with soap and water.', 'Preheat oven to 400 degrees. Position rack in the center of the oven.', 'In a large bowl whisk together the egg, milk, yogurt, oil and lemon peel.', 'Sift the flour, sugar, baking powder and salt onto the liquid ingredients. Using a fork, stir very lightly, just until ingredients are combined.', 'Gently fold in the blueberries. Pour the batter into an 8- or 9-inch baking pan coated with nonstick spray.', 'In a small bowl combine the topping ingredients. Sprinkle evenly over the cake batter.', 'Bake a 400 degrees for 30 to 35 minutes or until the top is lightly browned and a wooden toothpick inserted in the center comes out clean.', 'Allow the cake to cool in the baking pan on a wire rack for at least 10 minutes.', 'Serve warm or at room temperature.']",Breads,282,24 mg,7 g,49 g,2 g,23 g,6 g,191 mg,2 mg,21 mcg RAE,4 mg,0 mcg,100 mcg DFE
