datetime,sensor_id,sensor_status,activity
2023-08-19_00:01:42.037975,M035,OFF,
2023-08-19_00:01:42.084014,M045,ON,
2023-08-19_00:01:44.089725,M045,OFF,
2023-08-19_00:02:00.005735,T002,29.5,
2023-08-19_00:02:00.075619,M045,ON,
2023-08-19_00:02:02.029928,M045,OFF,
2023-08-19_00:02:14.029121,M045,ON,
2023-08-19_00:02:16.082523,M045,OFF,
2023-08-19_00:02:22.001822,P001,427,
2023-08-19_00:02:28.000060,M035,ON,
2023-08-19_00:02:28.009005,M034,ON,
2023-08-19_00:02:31.079111,M034,OFF,
2023-08-19_00:02:32.068108,M034,ON,
2023-08-19_00:02:35.043129,M035,OFF,
2023-08-19_00:02:35.075078,M035,ON,
2023-08-19_00:02:35.093173,M033,ON,
2023-08-19_00:02:36.063807,M033,OFF,
2023-08-19_00:02:37.094075,M033,ON,
2023-08-19_00:02:38.007055,M034,OFF,
2023-08-19_00:02:40.057679,M035,OFF,
2023-08-19_00:02:41.093875,M032,ON,
2023-08-19_00:02:42.002086,M035,ON,
2023-08-19_00:02:42.041305,M034,ON,
2023-08-19_00:02:43.050007,M034,OFF,
2023-08-19_00:02:43.070282,M036,ON,
2023-08-19_00:02:43.095807,M033,OFF,
2023-08-19_00:02:44.030613,M030,ON,
2023-08-19_00:02:44.055897,M035,OFF,
2023-08-19_00:02:44.082146,M032,OFF,
2023-08-19_00:02:46.056763,M035,ON,
2023-08-19_00:02:47.028583,M032,ON,
2023-08-19_00:02:47.048068,M030,OFF,
2023-08-19_00:02:49.078971,M035,OFF,
2023-08-19_00:02:49.099225,M036,OFF,
2023-08-19_00:02:51.004433,M035,ON,
2023-08-19_00:02:52.020915,P001,510,
2023-08-19_00:02:52.007086,M032,OFF,
2023-08-19_00:02:53.019105,M035,OFF,
2023-08-19_00:02:54.007869,M032,ON,
2023-08-19_00:02:58.098115,M035,ON,
2023-08-19_00:02:59.035912,M036,ON,
2023-08-19_00:03:01.054522,M035,OFF,
2023-08-19_00:03:01.072535,M032,OFF,
2023-08-19_00:03:03.005949,M036,OFF,
2023-08-19_00:03:04.089428,M036,ON,
2023-08-19_00:03:05.084389,M030,ON,
2023-08-19_00:03:08.019134,M032,ON,
2023-08-19_00:03:08.086624,M035,ON,
2023-08-19_00:03:09.013387,M030,OFF,
2023-08-19_00:03:09.039939,M036,OFF,
2023-08-19_00:03:09.074229,M034,ON,
2023-08-19_00:03:10.024833,P001,425,
2023-08-19_00:03:12.028433,M032,OFF,
2023-08-19_00:03:15.014093,M035,OFF,
2023-08-19_00:03:15.099976,M034,OFF,
2023-08-19_00:03:52.080415,M045,ON,
2023-08-19_00:03:58.035141,M045,OFF,
2023-08-19_00:04:06.060727,M045,ON,
2023-08-19_00:04:09.090505,M045,OFF,
2023-08-19_00:04:27.039904,M045,ON,
2023-08-19_00:04:29.078608,M035,ON,
2023-08-19_00:04:30.094779,M045,OFF,
2023-08-19_00:04:31.082546,M045,ON,
2023-08-19_00:04:33.047387,M045,OFF,
2023-08-19_00:04:33.007883,M034,ON,
2023-08-19_00:04:36.025511,M034,OFF,
2023-08-19_00:04:37.011579,M034,ON,
2023-08-19_00:04:37.041268,M035,OFF,
2023-08-19_00:04:38.022528,M034,OFF,
2023-08-19_00:04:38.086044,M034,ON,
2023-08-19_00:04:39.076402,M035,ON,
2023-08-19_00:04:40.084299,M034,OFF,
2023-08-19_00:04:41.009074,M034,ON,
2023-08-19_00:04:44.067985,M035,OFF,
2023-08-19_00:04:46.008494,M035,ON,
2023-08-19_00:04:49.071378,M034,OFF,
2023-08-19_00:04:49.095428,M035,OFF,
2023-08-19_00:04:51.099604,M035,ON,
2023-08-19_00:04:55.046614,M034,ON,
2023-08-19_00:04:58.078419,M045,ON,
2023-08-19_00:04:59.083671,M035,OFF,
2023-08-19_00:05:00.083854,M034,OFF,
2023-08-19_00:05:01.002076,M045,OFF,
2023-08-19_00:05:02.023757,M045,ON,
2023-08-19_00:05:05.000769,M045,OFF,
2023-08-19_00:05:24.096543,M035,ON,
2023-08-19_00:05:26.081583,M045,ON,
2023-08-19_00:05:27.036351,M045,OFF,
2023-08-19_00:05:32.056034,M035,OFF,
2023-08-19_00:05:41.089088,M045,ON,
2023-08-19_00:05:43.069121,M045,OFF,
2023-08-19_00:05:44.007477,M045,ON,
2023-08-19_00:05:45.012772,M045,OFF,
2023-08-19_00:05:48.083137,M045,ON,
2023-08-19_00:05:50.041398,M045,OFF,
2023-08-19_00:06:03.019402,M034,ON,
2023-08-19_00:06:04.088576,M034,OFF,
2023-08-19_00:06:13.074864,M045,ON,
2023-08-19_00:06:18.013352,M045,OFF,
2023-08-19_00:06:20.094392,M035,ON,
2023-08-19_00:06:30.001512,M045,ON,
2023-08-19_00:06:32.050441,M035,OFF,
2023-08-19_00:06:35.069535,M045,OFF,
2023-08-19_00:06:42.067949,M045,ON,
2023-08-19_00:06:44.039146,M045,OFF,
2023-08-19_00:06:45.013119,M045,ON,
2023-08-19_00:06:46.085576,M045,OFF,
2023-08-19_00:06:48.073566,M045,ON,
2023-08-19_00:06:50.071743,M045,OFF,
2023-08-19_00:06:51.051385,M045,ON,
2023-08-19_00:06:53.015446,M045,OFF,
2023-08-19_00:06:53.043907,M045,ON,
2023-08-19_00:06:54.050648,M045,OFF,
2023-08-19_00:07:02.082355,M045,ON,
2023-08-19_00:07:06.035727,M045,OFF,
2023-08-19_00:07:25.008613,M045,ON,
2023-08-19_00:07:26.075167,M045,OFF,
2023-08-19_00:07:33.062388,T002,29,
2023-08-19_00:07:41.008052,M045,ON,
2023-08-19_00:07:42.076116,M045,OFF,
2023-08-19_00:07:46.079627,M045,ON,
2023-08-19_00:07:49.007601,M045,OFF,
2023-08-19_00:07:52.052968,M045,ON,
2023-08-19_00:07:54.069572,M045,OFF,
2023-08-19_00:08:03.082182,M045,ON,
2023-08-19_00:08:05.006077,T002,29.5,
2023-08-19_00:08:05.088149,M045,OFF,
2023-08-19_00:08:21.055861,T002,29,
2023-08-19_00:08:26.010018,M045,ON,
2023-08-19_00:08:27.098158,M045,OFF,
2023-08-19_00:08:29.044126,M045,ON,
2023-08-19_00:08:33.080587,M045,OFF,
2023-08-19_00:08:38.008882,M045,ON,
2023-08-19_00:08:42.030566,M045,OFF,
2023-08-19_00:08:48.008644,M045,ON,
2023-08-19_00:08:50.094085,M045,OFF,
2023-08-19_00:08:51.022467,M045,ON,
2023-08-19_00:08:54.008522,M045,OFF,
2023-08-19_00:09:21.008107,M045,ON,
2023-08-19_00:09:22.083932,M045,OFF,
2023-08-19_00:09:41.084907,M045,ON,
2023-08-19_00:09:43.024568,M045,OFF,
2023-08-19_00:10:00.000169,M045,ON,
2023-08-19_00:10:01.054324,M045,OFF,
2023-08-19_00:10:10.020693,M034,ON,
2023-08-19_00:10:12.013087,M035,ON,
2023-08-19_00:10:13.061095,M034,OFF,
2023-08-19_00:10:15.078124,M035,OFF,
2023-08-19_00:10:53.075135,M045,ON,
2023-08-19_00:10:55.052586,M045,OFF,
2023-08-19_00:10:56.040991,M045,ON,
2023-08-19_00:10:57.004961,M045,OFF,
2023-08-19_00:11:04.064859,M045,ON,
2023-08-19_00:11:06.071208,M045,OFF,
2023-08-19_00:11:07.030747,M045,ON,
2023-08-19_00:11:09.046362,M045,OFF,
2023-08-19_00:11:10.058443,M045,ON,
2023-08-19_00:11:12.067968,M045,OFF,
2023-08-19_00:11:15.020078,M045,ON,
2023-08-19_00:11:16.057359,M045,OFF,
2023-08-19_00:11:20.081355,M045,ON,
2023-08-19_00:11:22.058605,M045,OFF,
2023-08-19_00:11:45.001007,M045,ON,
2023-08-19_00:11:47.037339,T003,26.5,
2023-08-19_00:11:50.030371,M045,OFF,
2023-08-19_00:11:55.069113,M045,ON,
2023-08-19_00:11:59.023114,M045,OFF,
2023-08-19_00:12:02.086111,M045,ON,
2023-08-19_00:12:03.032603,T003,27,
2023-08-19_00:12:06.093512,M045,OFF,
2023-08-19_00:12:21.024459,M045,ON,
2023-08-19_00:12:22.057513,M045,OFF,
2023-08-19_00:12:46.014567,M045,ON,
2023-08-19_00:12:49.038123,M045,OFF,
2023-08-19_00:12:55.089678,M045,ON,
2023-08-19_00:12:57.027109,M045,OFF,
2023-08-19_00:13:07.035737,T003,26.5,
2023-08-19_00:13:17.061017,M045,ON,
2023-08-19_00:13:21.011101,M045,OFF,
2023-08-19_00:13:23.039058,T003,27,
2023-08-19_00:13:25.030675,M045,ON,
2023-08-19_00:13:26.086828,M045,OFF,
2023-08-19_00:13:36.040538,M045,ON,
2023-08-19_00:13:38.015084,M045,OFF,
2023-08-19_00:13:39.031886,T003,26.5,
2023-08-19_00:13:53.049979,M045,ON,
2023-08-19_00:13:57.055627,M045,OFF,
2023-08-19_00:13:58.032799,M045,ON,
2023-08-19_00:14:00.042538,M045,OFF,
2023-08-19_00:14:00.072028,M045,ON,
2023-08-19_00:14:03.091127,M045,OFF,
2023-08-19_00:14:04.059131,M045,ON,
2023-08-19_00:14:06.074855,M045,OFF,
2023-08-19_00:14:09.066773,M045,ON,
2023-08-19_00:14:13.037979,M045,OFF,
2023-08-19_00:14:16.026847,M045,ON,
2023-08-19_00:14:18.096605,M045,OFF,
2023-08-19_00:14:27.000299,T003,27,
2023-08-19_00:14:43.031744,T003,26.5,
2023-08-19_00:14:58.082158,M045,ON,
2023-08-19_00:15:03.014384,M045,OFF,
2023-08-19_00:15:19.033143,M045,ON,
2023-08-19_00:15:21.003975,M045,OFF,
2023-08-19_00:15:26.044607,M045,ON,
2023-08-19_00:15:28.002883,M045,OFF,
2023-08-19_00:15:31.081508,M045,ON,
2023-08-19_00:15:34.037585,M045,OFF,
2023-08-19_00:16:10.018629,M045,ON,
2023-08-19_00:16:13.035568,M045,OFF,
2023-08-19_00:16:15.084139,T003,27,
2023-08-19_00:16:16.060385,M045,ON,
2023-08-19_00:16:19.082819,M045,OFF,
2023-08-19_00:16:24.094409,M045,ON,
2023-08-19_00:16:26.082515,M045,OFF,
2023-08-19_00:16:29.080624,M045,ON,
2023-08-19_00:16:31.091712,T003,26.5,
2023-08-19_00:16:32.046627,M045,OFF,
2023-08-19_00:16:33.044354,M045,ON,
2023-08-19_00:16:38.007489,M045,OFF,
2023-08-19_00:16:43.089944,M045,ON,
2023-08-19_00:16:45.069422,M045,OFF,
2023-08-19_00:16:53.031436,M045,ON,
2023-08-19_00:16:55.016514,M045,OFF,
2023-08-19_00:17:06.017177,M045,ON,
2023-08-19_00:17:08.021747,M045,OFF,
2023-08-19_00:17:09.017875,M045,ON,
2023-08-19_00:17:12.067103,M045,OFF,
2023-08-19_00:17:23.020867,M045,ON,
2023-08-19_00:17:27.090548,M045,OFF,
2023-08-19_00:17:35.053028,T002,28.5,
2023-08-19_00:17:42.045766,M045,ON,
2023-08-19_00:17:46.024538,M045,OFF,
2023-08-19_00:17:50.038456,M045,ON,
2023-08-19_00:17:52.067501,M045,OFF,
2023-08-19_00:17:54.093876,M045,ON,
2023-08-19_00:17:56.065995,M045,OFF,
2023-08-19_00:18:17.098101,M045,ON,
2023-08-19_00:18:19.073949,M045,OFF,
2023-08-19_00:18:21.043825,M045,ON,
2023-08-19_00:18:26.038198,M045,OFF,
2023-08-19_00:18:27.021968,M045,ON,
2023-08-19_00:18:31.005212,M045,OFF,
2023-08-19_00:19:06.081703,M045,ON,
2023-08-19_00:19:08.052724,M045,OFF,
2023-08-19_00:19:48.030503,M045,ON,
2023-08-19_00:19:53.024698,M045,OFF,
2023-08-19_00:19:53.069819,M045,ON,
2023-08-19_00:19:58.098431,M045,OFF,
2023-08-19_00:20:02.093129,M045,ON,
2023-08-19_00:20:08.000408,M045,OFF,
2023-08-19_00:20:45.091589,M045,ON,
2023-08-19_00:20:51.050485,M045,OFF,
2023-08-19_00:21:01.089456,M045,ON,
2023-08-19_00:21:03.046859,M045,OFF,
2023-08-19_00:21:05.015183,M045,ON,
2023-08-19_00:21:06.073629,M045,OFF,
2023-08-19_00:21:10.000744,M045,ON,
2023-08-19_00:21:11.063005,M045,OFF,
2023-08-19_00:21:13.008437,M045,ON,
2023-08-19_00:21:15.045815,M045,OFF,
2023-08-19_00:21:54.000090,M045,ON,
2023-08-19_00:21:56.009286,M045,OFF,
2023-08-19_00:21:57.080597,M045,ON,
2023-08-19_00:21:59.046257,M045,OFF,
2023-08-19_00:22:27.003165,M045,ON,
2023-08-19_00:22:30.001254,M045,OFF,
2023-08-19_00:23:07.053822,M045,ON,
2023-08-19_00:23:11.000345,M045,OFF,
2023-08-19_00:23:38.035986,M045,ON,
2023-08-19_00:23:40.072437,M045,OFF,
2023-08-19_00:24:31.041515,M045,ON,
2023-08-19_00:24:36.091164,M045,OFF,
2023-08-19_00:24:44.074371,M045,ON,
2023-08-19_00:24:49.036079,M045,OFF,
2023-08-19_00:24:51.001938,M045,ON,
2023-08-19_00:24:57.074657,M045,OFF,
2023-08-19_00:25:07.081851,M045,ON,
2023-08-19_00:25:12.092104,M045,OFF,
2023-08-19_00:25:14.027349,T001,26,
2023-08-19_00:25:15.009036,P001,415,
2023-08-19_00:25:30.004169,T001,26.5,
2023-08-19_00:25:46.034355,T001,26,
2023-08-19_00:27:10.024588,M045,ON,
2023-08-19_00:27:12.008524,M045,OFF,
2023-08-19_00:27:54.007468,M045,ON,
2023-08-19_00:27:57.000211,M045,OFF,
2023-08-19_00:28:45.015475,M045,ON,
2023-08-19_00:28:49.003308,M045,OFF,
2023-08-19_00:28:51.035549,M045,ON,
2023-08-19_00:28:55.037003,M045,OFF,
2023-08-19_00:29:02.027327,M045,ON,
2023-08-19_00:29:06.008441,M045,OFF,
2023-08-19_00:29:07.044742,M045,ON,
2023-08-19_00:29:09.057031,M045,OFF,
2023-08-19_00:29:11.024539,P001,432,
2023-08-19_00:29:17.025889,P001,419,
2023-08-19_00:29:23.025972,P001,432,
2023-08-19_00:29:29.026913,P001,416,
2023-08-19_00:29:35.027905,P001,432,
2023-08-19_00:29:46.012402,M045,ON,
2023-08-19_00:29:48.071056,M045,OFF,
2023-08-19_00:29:54.041828,M045,ON,
2023-08-19_00:29:56.043001,M045,OFF,
2023-08-19_00:29:57.041768,M045,ON,
2023-08-19_00:29:59.038075,M045,OFF,
2023-08-19_00:30:15.053886,T005,26.5,
2023-08-19_00:30:18.065361,M045,ON,
2023-08-19_00:30:20.019155,M045,OFF,
2023-08-19_00:30:27.048444,M045,ON,
2023-08-19_00:30:29.002957,M045,OFF,
2023-08-19_00:30:37.031297,P001,417,
2023-08-19_00:30:51.067133,M045,ON,
2023-08-19_00:30:53.044048,M045,OFF,
2023-08-19_00:30:55.033915,P001,431,
2023-08-19_00:30:56.001922,M045,ON,
2023-08-19_00:30:57.099737,M045,OFF,
2023-08-19_00:31:02.006077,T002,28,
2023-08-19_00:31:07.034915,P001,420,
2023-08-19_00:31:18.059378,T002,28.5,
2023-08-19_00:31:19.093096,M045,ON,
2023-08-19_00:31:25.028859,M045,OFF,
2023-08-19_00:31:28.008996,M045,ON,
2023-08-19_00:31:37.019758,M045,OFF,
2023-08-19_00:31:50.061339,T002,28,
2023-08-19_00:31:56.094111,M045,ON,
2023-08-19_00:32:00.035398,M045,OFF,
2023-08-19_00:32:31.052376,M045,ON,
2023-08-19_00:32:33.096923,M045,OFF,
2023-08-19_00:32:34.034854,M045,ON,
2023-08-19_00:32:37.005578,M045,OFF,
2023-08-19_00:33:32.050353,M045,ON,
2023-08-19_00:33:37.031808,M045,OFF,
2023-08-19_00:33:54.019912,M045,ON,
2023-08-19_00:33:55.093656,M045,OFF,
2023-08-19_00:34:15.003886,M045,ON,
2023-08-19_00:34:16.088959,M045,OFF,
2023-08-19_00:34:17.017733,M045,ON,
2023-08-19_00:34:19.040826,M045,OFF,
2023-08-19_00:34:29.097543,M045,ON,
2023-08-19_00:34:31.009507,M045,OFF,
2023-08-19_00:34:38.091025,M045,ON,
2023-08-19_00:34:40.081746,M045,OFF,
2023-08-19_00:34:54.005519,M045,ON,
2023-08-19_00:34:55.069935,M045,OFF,
2023-08-19_00:35:33.046385,M045,ON,
2023-08-19_00:35:38.065203,M045,OFF,
2023-08-19_00:36:18.056963,M045,ON,
2023-08-19_00:36:21.055636,M045,OFF,
2023-08-19_00:36:39.073329,M045,ON,
2023-08-19_00:36:43.004736,M045,OFF,
2023-08-19_00:36:48.005211,M045,ON,
2023-08-19_00:36:50.060561,M045,OFF,
2023-08-19_00:42:42.078915,M034,ON,
2023-08-19_00:42:44.005142,M035,ON,
2023-08-19_00:42:46.019378,M035,OFF,
2023-08-19_00:42:48.082438,M034,OFF,
2023-08-19_00:44:11.083764,P001,1001.8,
2023-08-19_00:44:11.009129,P001,418,
2023-08-19_00:45:03.085937,P001,321,
2023-08-19_00:45:59.093711,M045,ON,
2023-08-19_00:46:00.009313,M045,OFF,
2023-08-19_00:47:25.053315,T002,27.5,
2023-08-19_00:47:56.040483,M045,ON,
2023-08-19_00:48:01.002537,M045,OFF,
2023-08-19_00:49:05.057305,M045,ON,
2023-08-19_00:49:07.041443,M045,OFF,
2023-08-19_00:49:08.017453,M045,ON,
2023-08-19_00:49:10.024068,M045,OFF,
2023-08-19_00:49:10.074987,M045,ON,
2023-08-19_00:49:16.076461,M045,OFF,
2023-08-19_00:49:19.099843,P001,338,
2023-08-19_00:49:20.073018,M045,ON,
2023-08-19_00:49:26.000888,P001,322,
2023-08-19_00:49:32.000859,P001,366,
2023-08-19_00:49:38.073562,M050,ON,
2023-08-19_00:49:40.007836,M045,OFF,
2023-08-19_00:49:44.001997,P001,335,
2023-08-19_00:49:44.082487,M049,ON,
2023-08-19_00:49:46.035659,M048,ON,
2023-08-19_00:49:46.066227,M050,OFF,
2023-08-19_00:49:51.048947,M048,OFF,
2023-08-19_00:49:52.007908,M048,ON,
2023-08-19_00:49:56.062849,M034,ON,
2023-08-19_00:49:56.092056,M048,OFF,
2023-08-19_00:49:57.029273,M046,ON,
2023-08-19_00:49:57.053924,M035,ON,
2023-08-19_00:49:57.080329,M047,ON,
2023-08-19_00:49:58.008419,M034,OFF,
2023-08-19_00:49:59.007341,M035,OFF,
2023-08-19_00:49:59.032876,M049,OFF,
2023-08-19_00:50:06.055562,M047,OFF,
2023-08-19_00:50:06.093951,M049,ON,
2023-08-19_00:50:07.040706,M050,ON,
2023-08-19_00:50:08.015293,M046,OFF,
2023-08-19_00:50:12.066973,M048,ON,
2023-08-19_00:50:14.046991,M049,OFF,
2023-08-19_00:50:15.020931,M048,OFF,
2023-08-19_00:50:15.048147,M050,OFF,
2023-08-19_00:50:16.081211,M047,ON,
2023-08-19_00:50:17.096806,M048,ON,
2023-08-19_00:50:19.099591,M047,OFF,
2023-08-19_00:50:20.020832,M048,OFF,
2023-08-19_00:50:20.003702,M049,ON,
2023-08-19_00:50:20.073166,M048,ON,
2023-08-19_00:50:21.010502,M050,ON,
2023-08-19_00:50:23.008814,M048,OFF,
2023-08-19_00:50:24.079549,M050,OFF,
2023-08-19_00:50:25.049538,M049,OFF,
2023-08-19_00:50:30.079779,M049,ON,
2023-08-19_00:50:31.067747,M050,ON,
2023-08-19_00:50:33.074506,M050,OFF,
2023-08-19_00:50:34.005795,M049,OFF,
2023-08-19_00:50:42.043569,M046,ON,
2023-08-19_00:50:44.018966,M046,OFF,
2023-08-19_00:50:45.003182,M049,ON,
2023-08-19_00:50:45.068865,M050,ON,
2023-08-19_00:50:47.059057,M050,OFF,
2023-08-19_00:50:49.013117,M049,OFF,
2023-08-19_00:50:54.067656,M046,ON,
2023-08-19_00:51:00.044929,M046,OFF,
2023-08-19_00:51:00.073489,M046,ON,
2023-08-19_00:51:07.077499,M047,ON,
2023-08-19_00:51:08.055375,M047,OFF,
2023-08-19_00:51:10.046959,M046,OFF,
2023-08-19_00:51:11.085072,M046,ON,
2023-08-19_00:51:12.061451,M045,ON,
2023-08-19_00:51:14.035575,M045,OFF,
2023-08-19_00:51:15.009467,M045,ON,
2023-08-19_00:51:15.058473,M049,ON,
2023-08-19_00:51:16.015117,M045,OFF,
2023-08-19_00:51:18.044273,M046,OFF,
2023-08-19_00:51:19.057639,M049,OFF,
2023-08-19_00:51:20.008671,P001,296,
2023-08-19_00:51:20.018509,M046,ON,
2023-08-19_00:51:21.014854,M048,ON,
2023-08-19_00:51:22.073097,M049,ON,
2023-08-19_00:51:23.009757,M046,OFF,
2023-08-19_00:51:24.027174,M048,OFF,
2023-08-19_00:51:24.055553,M047,ON,R701_sleep_begin
2023-08-19_00:51:24.072823,M049,OFF,
2023-08-19_00:51:25.019928,M048,ON,
2023-08-19_00:51:27.074781,M048,OFF,
2023-08-19_00:51:32.008857,P001,396,
2023-08-19_00:51:37.005581,M047,OFF,
2023-08-19_00:52:29.068972,M047,ON,
2023-08-19_00:52:31.062642,M047,OFF,
2023-08-19_00:52:31.096454,M047,ON,
2023-08-19_00:52:34.007584,M047,OFF,
2023-08-19_00:57:06.029351,P001,386,
2023-08-19_01:00:07.032711,T004,26,
2023-08-19_01:00:20.053191,T004,26.5,
2023-08-19_01:00:52.037282,T004,26,
2023-08-19_01:01:56.030982,T004,26.5,
2023-08-19_01:02:28.031829,T004,26,
2023-08-19_01:04:58.069653,M034,ON,
2023-08-19_01:04:58.096188,M035,ON,
2023-08-19_01:05:00.056541,M035,OFF,
2023-08-19_01:05:04.013071,M034,OFF,
2023-08-19_01:08:30.073342,P001,292,
2023-08-19_01:11:42.053764,T002,27,
2023-08-19_01:12:15.062365,T001,25.5,
2023-08-19_01:12:31.062671,T001,26,
2023-08-19_01:12:47.053369,T001,25.5,
2023-08-19_01:15:08.099649,P001,507,
2023-08-19_01:15:09.007118,P001,395,
2023-08-19_01:17:41.009014,P001,385,
2023-08-19_01:22:17.003435,T003,26,
2023-08-19_01:22:49.036779,T003,26.5,
2023-08-19_01:23:37.034392,T003,26,
2023-08-19_01:23:53.034372,T003,26.5,
2023-08-19_01:24:09.033355,T003,26,
2023-08-19_01:24:57.029822,T003,26.5,
2023-08-19_01:25:13.030219,T003,26,
2023-08-19_01:26:30.039406,T003,26.5,
2023-08-19_01:26:36.000475,M034,ON,
2023-08-19_01:26:36.047455,M035,ON,
2023-08-19_01:26:38.013173,M035,OFF,
2023-08-19_01:26:42.041348,M034,OFF,
2023-08-19_01:26:46.036703,T003,26,
2023-08-19_01:28:42.005126,P001,362,
2023-08-19_01:28:48.050911,P001,291,
2023-08-19_01:35:27.008396,T002,26.5,
2023-08-19_01:35:36.074155,P001,401,
2023-08-19_01:36:45.078878,P001,390,
2023-08-19_01:40:44.050887,T002,27,
2023-08-19_01:41:00.056309,T002,26.5,
2023-08-19_01:41:16.061774,T002,27,
2023-08-19_01:41:32.055786,T002,26.5,
2023-08-19_01:42:04.064289,T002,27,
2023-08-19_01:43:52.087545,M047,ON,
2023-08-19_01:43:57.094903,M047,OFF,
2023-08-19_01:44:43.008219,M047,ON,
2023-08-19_01:44:44.057086,T002,26.5,
2023-08-19_01:44:51.025134,M047,OFF,
2023-08-19_01:45:00.063837,T002,27,
2023-08-19_01:46:17.035327,T004,25.5,
2023-08-19_01:46:33.036785,T004,26,
2023-08-19_01:47:05.035187,T004,25.5,
2023-08-19_01:47:05.000063,T002,26.5,
2023-08-19_01:47:21.026983,T004,26,
2023-08-19_01:47:21.055108,T002,27,
2023-08-19_01:47:26.058201,M047,ON,
2023-08-19_01:47:28.046839,M047,OFF,
2023-08-19_01:47:29.007007,M047,ON,
2023-08-19_01:47:31.031052,M047,OFF,
2023-08-19_01:47:37.060845,T002,26.5,
2023-08-19_01:47:40.019944,P001,291,
2023-08-19_01:47:53.028348,T004,25.5,
2023-08-19_01:47:53.055022,T002,27,
2023-08-19_01:48:02.091769,M035,ON,
2023-08-19_01:48:03.020055,M034,ON,
2023-08-19_01:48:05.092939,M035,OFF,
2023-08-19_01:48:06.059101,M034,OFF,
2023-08-19_01:48:06.089243,M034,ON,
2023-08-19_01:48:07.094293,M034,OFF,
2023-08-19_01:48:08.023612,M034,ON,
2023-08-19_01:48:08.004231,M035,ON,
2023-08-19_01:48:09.039489,T004,26,
2023-08-19_01:48:09.008568,M034,OFF,
2023-08-19_01:48:10.016315,M035,OFF,
2023-08-19_01:49:45.006036,T002,26.5,
2023-08-19_01:51:34.037745,T004,25.5,
2023-08-19_01:51:50.033766,T004,26,
2023-08-19_01:52:22.029694,T004,25.5,
2023-08-19_01:52:38.034397,T004,26,
2023-08-19_01:52:54.002583,T004,25.5,
2023-08-19_01:54:24.046956,P001,396,
2023-08-19_01:54:46.029359,T004,26,
2023-08-19_01:55:02.025902,T004,25.5,
2023-08-19_01:55:18.027398,T004,26,
2023-08-19_01:55:31.055982,T004,25.5,
2023-08-19_01:55:40.048959,M047,ON,
2023-08-19_01:55:42.059124,M047,OFF,
2023-08-19_01:56:10.054488,P001,385,
2023-08-19_02:05:58.092953,P001,290,
2023-08-19_02:07:33.098842,P001,1001.4,
2023-08-19_02:07:34.006696,P001,290,
2023-08-19_02:09:34.034222,T001,25,
2023-08-19_02:09:50.034704,T001,25.5,
2023-08-19_02:10:06.031716,T001,25,
2023-08-19_02:10:22.035772,T001,25.5,
2023-08-19_02:10:31.093951,M034,ON,
2023-08-19_02:10:33.090521,M035,ON,
2023-08-19_02:10:39.038407,M034,OFF,
2023-08-19_02:10:40.081958,M035,OFF,
2023-08-19_02:10:45.099776,M034,ON,
2023-08-19_02:10:46.028934,M035,ON,
