name,type,directions,repetitions,image,mobilityscore,dexterityscore
Neck rotation,Sitting exercise,"This stretch is good for improving neck mobility and flexibility., Sit upright with your shoulders down. Look straight ahead., Slowly turn your head towards your left shoulder as far as is comfortable., Hold for 5 seconds and return to the starting position., Repeat on the right",Do the exercise 3 times on each side,https://assets.hse.ie/media/images/neck-rotation.width-320.jpg,10,1
Neck stretch,Sitting exercise,"This stretch is good for loosening tight neck muscles., Sitting upright, look straight ahead and hold your left shoulder down with your right hand., Slowly tilt your head to the right while holding your shoulder down., Repeat on the opposite side",Hold each stretch for 5 seconds and repeat 3 times on each side,https://assets.nhs.uk/nhsuk-cms/images/NHSC_0418_neck-stretch1.width-320.jpg,10,1
Sit-to-stand,Strength exercise,"Sit on the edge of the chair with your feet the same width apart as your hips. Lean forward slightly., Stand up slowly using your legs, not your arms. Keep looking forward and do not look down., Stand upright and then slowly sit down, bottom-first","Repeat 5 times, the slower, the better",https://assets.hse.ie/media/images/sit-to-stand.width-320.jpg,14,3
Mini squats,Strength exercise,"Rest your hands on the back of the chair for stability and stand with your feet the same width apart as your hips., Slowly bend your knees as far as is comfortable, keeping them facing forwards., Aim to get them over your big toe., Keep your back straight at all times., Gently stand up straight, squeezing your buttocks (bottom) as you do so",Repeat 5 times,https://assets.hse.ie/media/images/mini-squats.width-320.jpg,14,3
Calf raises,Strength exercise,"Rest your hands on the back of a chair for stability., Lift both your heels off the floor as far as is comfortable., The movement should be slow and controlled",Repeat 5 times,https://assets.hse.ie/media/images/calf-raises.width-320.jpg,14,3
Sideways leg lift,Strength exercise,"Rest your hands on the back of a chair for stability., Raise your left leg to the side as far as is comfortable, keeping your back and hips straight., Avoid tilting to the right., Return to the starting position., Then raise your right leg to the side as far as possible",Raise and lower each leg 5 times,https://assets.hse.ie/media/images/sideways-leg.width-320.jpg,14,3
Leg extension,Strength exercise,"Rest your hands on the back of a chair for stability., Standing upright, raise your left leg backwards, keeping it straight., Avoid arching your back as you take your leg back., You should feel the effort in the back of your thigh and bottom., Repeat with the right leg",Hold the lift for up to 5 seconds and repeat 5 times with each leg,https://assets.hse.ie/media/images/leg-extension.width-320.jpg,14,3
Wall press-up,Strength exercise,"Stand arm's length from the wall. Place your hands flat against the wall at chest level, with your fingers pointing upwards., With your back straight, slowly bend your arms, keeping your elbows by your side., Try to close the gap between you and the wall as much as you can., Slowly return to the starting position",Try to do 3 rounds of 5 to 10 repetitions,https://assets.hse.ie/media/images/wall-press.width-320.jpg,14,3
Biceps curls,Strength exercise,"You need light weights for this exercise., If you do not have weights, you can use filled water water bottles instead., Hold a pair of light weights and stand with your feet hip-width apart., Keeping your arms by your side, slowly bend them until the weight in your hand reaches your shoulder., Slowly lower the weight again., You can do this exercise while sitting too","Try to do 5 to 10 of these, then repeat this 3 times. Take a break between each round",https://assets.hse.ie/media/images/Bicep-curls.width-320.jpg,14,3
Neck rotation,Flexibility exercise,"This exercise can improve your neck mobility and flexibility., Sit upright with your shoulders down. Look straight ahead., Slowly turn your head towards your left shoulder as far as is comfortable., Hold for 5 seconds and return to the starting position., Repeat on the right",Do the exercise 3 times on each side,https://assets.hse.ie/media/images/neck-rotation.width-320.jpg,10,1
Neck stretch,Flexibility exercise,"This stretch is good for loosening tight neck muscles., Sitting upright, look straight ahead and hold your left shoulder down with your right hand., Slowly tilt your head to the right while holding your shoulder down., Repeat on the opposite side",Hold each stretch for 5 seconds and repeat 3 times on each side,https://assets.nhs.uk/nhsuk-cms/images/NHSC_0418_neck-stretch1.width-320.jpg,10,1
Sideways bend,Flexibility exercise,"This stretch helps to restore flexibility to your lower back., Stand upright with your arms by your sides and your feet the same width apart as your hips., Slide your left arm down your side as far as is comfortable., As you lower your arm, you should feel a stretch on the opposite hip., Repeat with your right arm",Hold each stretch for 2 seconds and repeat 3 times on each side,https://assets.hse.ie/media/images/sideways-bend.width-320.jpg,10,1
Calf stretch,Flexibility exercise,"This stretch is good for loosening tight calf muscles., Place your hands against a wall for stability., Bend your right leg and step your left leg back at least a foot's distance, keeping it straight., Both feet should be flat on the floor., Your left calf muscle stretches by keeping your left leg as straight as possible, and your left heel on the floor., Repeat with the opposite leg",Do 3 calf stretches on each leg,https://assets.hse.ie/media/images/calf-stretch.width-320.jpg,14,3
Walking,Outdoor," 5-minute walk, rest for 1 minute.","Repeat 2 times., Three days a week., 10 minutes in total three days per week., As the week goes on, adjust the repetition time according to your comfort level., This way you can safely increase your walking time over the week",image,14,3
Jogging,Outdoor,"Get a schedule., Warm up - Especially for beginners it is good to start each run with a little brisk walking to warm up and include a few limbering up and shake yourself out excercises., Stretching - Post-run is generally perceived as a better time to do some prolonged stretching., Stick with the schedule","Repeat 2 times., Three days a week., 10 minutes in total three days per week., As the week goes on, adjust the repetition time according to your comfort level., This way you can safely increase your walking time over the week",image,14,3
Model Building,Hobbies,"Model building is a captivating hobby that involves assembling intricate scale replicas of various objects, such as vehicles, buildings, airplanes, and ships., Choose a model kit that interests you, available in various skill levels from beginner to advanced., Carefully read the provided instructions, which outline the assembly process step by step., Follow the recommended sequence to achieve the best results., Use the appropriate type of glue to join parts together., Apply paint to your model., Embrace the process, and remember that each completed model is a unique work of art","Take breaks to rest hands and eyes when needed., Work in a comfortable and well-lit area",image,1,3
Origami,Hobbies,"Origami is a rewarding and meditative hobby that allows you to express your creativity through the simple act of folding paper., Select origami paper or any square piece of paper., Thinner paper is easier to fold., Begin with basic origami models like a paper crane, a frog, or a boat., Carefully follow the step-by-step instructions provided in tutorials or books., Each fold is represented by a diagram or description, so take your time and proceed at your own pace., Origami requires patience and practice., Don't be discouraged if your first attempts aren't perfect., With practice, your folding skills will improve., Most importantly, have fun and enjoy the creative process ","Take breaks to rest hands and eyes when needed., Work in a comfortable and well-lit area., Experiment with different color combinations for unique creations",image,1,3
Knitting,Hobbies,"This can be therapeutic., You can start with some simple knitting projects like - Knitted bookmarks, Market bag, Shawl","Stick to simple, repetitive stitch patterns., Scarves and shawls are more suitable., Take breaks to rest hands when needed., Work in a well-lit area",image,1,3
Crochet,Hobbies,"You can start with some simple crochet projects like - Beginner Crochet Throw, Classic Chunky Cowl","Stick to simple, repetitive stitch patterns., Scarves and shawls are more suitable., Take breaks to rest hands when needed., Work in a well-lit area",image,1,3
Painting or Drawing,Hobbies,"This can be therapeutic. You can start with some simple art projects like -., Rock painting., Adult colouring books., Painting pine cones., Fabric paint projects., Blank Canvas painting., Leaf painting., Paint a snowman face., Geometric Tape Painting","Stick to simple designs., Take breaks to rest hands when needed., Work in a well-lit area",image,1,3
Cross Stitch or Tapestry,Hobbies,"This can be therapeutic., Choose simple cross stitch or tapestry projects., Start with small designs or patterns., Use colorful threads for variety., Keep the fabric taut and secure while stitching","Take breaks to rest hands and eyes when needed., Work in a comfortable and well-lit area., Experiment with different color combinations for unique creations",image,1,3
Card making,Hobbies,"This can be therapeutic and creative., Create handmade cards for various occasions., Use different colored papers, ribbons, and embellishments., Experiment with different card-making techniques., Personalize each card with heartfelt messages","Make cards for family, friends, and special events., Take breaks to rest hands when needed., Work in a well-lit and organized workspace., Enjoy the process of crafting unique and thoughtful cards",image,1,2
Watching Movies or TV Shows,TV,"Enjoy a range of genres and stories from the comfort of home, providing entertainment and relaxation., Explore new interests by discovering documentaries, travel shows, or series related to hobbies and passions., Discuss favorite shows with friends and family, fostering conversations and connections","Ensure the seating arrangement is comfortable and supportive, use cushions or pillows for added comfort., Ensure the room is well-lit to prevent eye strain,. Keep water and healthy snacks nearby to stay hydrated and energized during viewing sessions., Monitor the amount of time spent watching, as excessive screen time can lead to sedentary behavior",image,1,1
Listening to Music or Podcasts,Music,"Music evokes memories and emotions, providing a comforting and nostalgic connection to the past., Tune into soothing melodies or your favorite tunes to create a calming atmosphere., Use music or podcasts to find solace, rejuvenate the mind, and momentarily escape from your daily stresses","Ensure that the volume is set to your comfortable level to prevent any potential hearing damage., Take breaks during extended listening sessions to prevent fatigue and give your ears a rest., Schedule regular hearing checkups with your audiologist to monitor and address any changes in your hearing ability",image,1,1
Reading,Reading,"Delve into captivating stories and immerse oneself in different worlds, providing an escape from your daily routines","Ensure the seating arrangement is comfortable and supportive, use cushions or pillows for added comfort., Ensure the room is well-lit to prevent eye strain,. Keep water and healthy snacks nearby to stay hydrated and energized., Take breaks",image,1,1
Gardening,Gardening,"Tending to plants fosters a therapeutic bond with nature, offering tranquility and stress relief., Enjoy the fruits of labor by harvesting homegrown produce, connecting with the cycles of nature., Start with potted plants on a balcony or a patiol,. Herbs and flowers are easy to care for and bring beauty to small spaces., You can also opt for low-maintenance flowers like - marigolds, pansies, or petunias., These blooms add color to the garden without demanding extensive care","Before starting, engage in gentle stretching exercises to warm up muscles and joints, reducing the risk of strains., Wear comfortable and appropriate clothing, including a hat, long sleeves, and pants to protect from the sun and scratches., Wear gardening gloves to protect hands from thorns, prickly plants, and potential irritants., Drink plenty of water before, during, and after gardening to stay hydrated, especially during warmer weather., Use lightweight gardening tools to reduce strain on joints and muscles., Avoid gardening during the hottest part of the day",image,10,2
Mountain Pose,Yoga,"This yoga pose helps with balance and grounding through the feet., Stand tall with your big toes touching and heels together., Draw your abdominals in and up and relax your shoulders down and back",Breathe five to eight breaths,https://lifelinecanada.wpenginepowered.com/wp-content/uploads/yoga-mountain-1.png,14,3
Tree Pose,Yoga,"Excellent for leg and abdominal strength., Good for balance and concentration., Stand tall and place one foot on the opposite inner thigh, either above or below the knee","Open the leg to the side., Bring your hands to a prayer position and hold for five to eight breaths",https://lifelinecanada.wpenginepowered.com/wp-content/uploads/yoga-tree-2.png,14,3
Bird Dog,Yoga,"Good for abdominals and back support., The health of the spine is extremely important as we age., Start by kneeling and stretching one arm forward and the opposite leg back., Imagine you have a tea cup on your back and draw your belly button towards your spine","Stay for a breath and then switch sides., Repeat five times",https://lifelinecanada.wpenginepowered.com/wp-content/uploads/yoga-bird-dog-3.png,14,3
Downward Facing Dog,Yoga,"This position is great for joint health, flexibility and all-over body strength., Start on your hands and knees, tuck your toes under and lift your hips up and back until your body forms a triangle., Use your core strength and legs to bring the weight back as much as possible ","Stay for five to eight breaths, lower yourself down, and repeat two more times., For some with wrist issues, try the Forearm Downward Dog instead, putting your forearms flat on the mat",https://lifelinecanada.wpenginepowered.com/wp-content/uploads/yoga-downward-dog-4.png,14,3
Sphinx,Yoga,"Excellent for upper back strength and preventing forward head syndrome., Sphinx is gentle and really does a great job of opening up the chest and working the rear deltoids., Lie down on your stomach and place your forearms on the mat, elbows under your shoulders., Press firmly into your arms and draw your shoulder blades together and down your back",Lift your abdominals in and up and stay for five to eight breaths,https://lifelinecanada.wpenginepowered.com/wp-content/uploads/yoga-sphinx-5.png,14,3
Cobbler's Pose,Yoga,"This is a great way to keep your hips open and massage your feet., Sit tall and bring the soles of your feet together as you open your knees out to the sides., Fold yourself forward for a deeper stretch but try to prevent rounding too much in the lower back",Hold for five to eight breaths,https://lifelinecanada.wpenginepowered.com/wp-content/uploads/yoga-cobblers-6.png,14,3
Savasana,Yoga,"Savasana resets the nervous system and helps with restoring peace to the body and mind., Lie on your back in final relaxation., It's good for people to get comfortable with letting go more often throughout the day., Lie down and let the floor support you","Completely relax the muscles and breathe as you lie there and take a deep, restorative break",https://lifelinecanada.wpenginepowered.com/wp-content/uploads/yoga-savasana-7.png,14,3
Ujjayi Breathing,Chair Yoga,"A great starter pose: Sit up tall at the edge of your seat and place your hands on your waist., Take a deep breath in through the nose, expanding through your sides and abdomen, then exhale slowly",Repeat for ten breaths,https://lifelinecanada.wpenginepowered.com/wp-content/uploads/chair-ujjayi-1.png,10,3
Cat/Cow,Chair Yoga,"This pose helps to relieve back and neck tension., Inhale and arch your back to look up at the ceiling., Exhale through your spine, pulling your abdominals in and rounding your back as you bend forward",Repeat this movement five times,https://lifelinecanada.wpenginepowered.com/wp-content/uploads/chair-cat-cow-2.png,10,1
Circles,Chair Yoga,"To release and relax the hip muscles, sit upright., Circle your hips while seated without moving your upper body","Circle your hips clockwise five times., Then counterclockwise five times.",https://lifelinecanada.wpenginepowered.com/wp-content/uploads/chair-circles-3.png,10,1
Sun Salutation Arms,Chair Yoga,"This pose helps lengthen the spine and releases tension in the shoulders and neck., Sitting tall, breathe in and lift your arms up, pressing your palms overhead., On an exhale, float the arms back down to your sides",Repeat five times,https://lifelinecanada.wpenginepowered.com/wp-content/uploads/chair-sun-salutation-4.png,10,1
Sun Salutations with Twists,Chair Yoga,"Sitting tall, breathe in and lift your arms up, pressing your palms overhead., On an exhale, add a twist as you exhale, float the arms back down to your sides","Repeat five times on each side, holding the last twist for five seconds",https://lifelinecanada.wpenginepowered.com/wp-content/uploads/3-Chair-Yoga-Sun-Salutations-Twists.jpg,10,1
High Altar Side Leans,Chair Yoga,"For a deep spine and shoulder stretch, lift your arms and interlace your fingers together in front of you., Then turn your palms to the ceiling as you straighten your arms above your head","Lean to the right for three breaths, then to the left for three",https://lifelinecanada.wpenginepowered.com/wp-content/uploads/chair-high-alter-6.png,10,1
Eagle Arms,Chair Yoga,"Banish any shoulder aches with this move., Stretch your arms out to each side., Next, bring one arm under the other in front of you at shoulder height., While bending your arms at the elbows, twist your arms so that your palms meet each other","Hold for five breaths, then unwind and repeat with the opposite arm on top",https://lifelinecanada.wpenginepowered.com/wp-content/uploads/chair-eagle-arm-7.png,10,1
Assisted Neck Stretches,Chair Yoga,"Our necks carry a huge amount of stress., To help alleviate it, take your right arm and drape it over your head until your palm reaches your left ear","Let your head fall to your right shoulder, and hold for five breaths., Repeat on the opposite side",https://lifelinecanada.wpenginepowered.com/wp-content/uploads/chair-neck-stretches-8.png,10,1
Ankle to Knee,Chair Yoga,"The hip area is also a major stress spot., To loosen things up, sit up straight, bend your right knee and place your right ankle over your left knee., For a deeper stretch, lean forward","Hold for five breaths, then repeat on the opposite side",https://lifelinecanada.wpenginepowered.com/wp-content/uploads/9-Chair-Yoga-Ankle-Knee.jpg,10,1
Goddess with a Twist,Chair Yoga,"Another great hip stretch: Open your legs wide and point your toes out., Place your right arm inside your right leg, reaching toward the floor., Lift your left arm toward the ceiling and bring your gaze up to your left palm","Hold for five breaths, then repeat on the opposite side",https://lifelinecanada.wpenginepowered.com/wp-content/uploads/chair-goddess-twist-10.png,10,1
Warrior 2,Chair Yoga,"This one builds confidence and gives you a full-body stretch at the same time., Sit tall at the edge of your seat., Bend your right knee to the side and stretch your left leg out behind you as you press down through your outer heel","Hold for five breaths, then repeat on the opposite side",https://lifelinecanada.wpenginepowered.com/wp-content/uploads/chair-warrior-11.png,10,1
Forward Fold,Chair Yoga,"Finish with a calming forward bend, which lets blood flow to the brain., First, sit tall and straight., Then, fold down over your legs, letting your head, neck and body hang limp",Hold for as long as you want before rolling back up to a sitting position,https://lifelinecanada.wpenginepowered.com/wp-content/uploads/chair-forward-fold-12.png,10,1
